01/01/2014 00:16:10.000,0.100,0.001
01/01/2014 00:16:20.000,0.100,0.001
01/01/2014 00:16:30.000,0.100,0.001
01/01/2014 00:16:40.000,0.100,0.006
01/01/2014 00:16:50.000,0.100,0.009
01/01/2014 00:17:00.000,0.100,0.011
01/01/2014 00:17:10.000,0.100,0.012
01/01/2014 00:17:20.000,0.100,0.014
01/01/2014 00:17:30.000,0.100,0.015
01/01/2014 00:17:40.000,0.100,0.015
01/01/2014 00:17:50.000,0.100,0.015
01/01/2014 00:18:00.000,0.100,0.015
01/01/2014 00:18:10.000,0.100,0.015
01/01/2014 00:18:20.000,0.100,0.015
01/01/2014 00:18:30.000,0.100,0.015
01/01/2014 00:18:40.000,0.100,0.015
01/01/2014 00:18:50.000,0.100,0.015
01/01/2014 00:19:00.000,0.100,0.015
01/01/2014 00:19:10.000,0.100,0.015
01/01/2014 00:19:20.000,0.100,0.014
01/01/2014 00:19:30.000,0.100,0.014
01/01/2014 00:19:40.000,0.100,0.014
