path,run_type,freq_hz,amp_V,wind,f_hz,A_in_active,A_out_active,A_in_late,A_out_late,A_in_hg6,A_out_hg6,A_in_hg10,A_out_hg10,OUT_IN_active,OUT_IN_late,OUT_IN_hg6,OUT_IN_hg10
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,per240,1.5,0.2,full,1.5,15.570900756704466,6.9769662255044365,15.097782434518813,11.611465689853457,16.180005135132422,11.374380344413778,16.156525293597312,11.497277849363709,0.44807723936589333,0.769084184396881,0.7029899094232077,0.7116182248617515
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,per240,1.3,0.2,full,1.3,14.478408987557136,13.245798186587253,15.02549878503418,12.760203739611695,15.077731500326138,12.863807288569001,15.006459245096588,12.818758882867487,0.9148655904091949,0.8492366158467376,0.8531659612250524,0.8542160861201192
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,per240,1.4,0.1,full,1.4,7.471345646495041,5.597314560719757,6.975581837490067,5.914468678708812,7.171467668608579,6.038170025989056,7.1829319218819325,6.074139172407222,0.7491708757103976,0.8478817705100481,0.8419713097808043,0.8456350747113573
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,per240,1.3,0.1,full,1.3,7.068029555769706,5.933498672164853,7.274440963372216,6.025140630734291,7.543828332376118,6.227233506330267,7.542327942541997,6.193392088956854,0.8394841342055901,0.8282616713877644,0.8254739148297723,0.8211512594173265
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,per240,1.4,0.2,full,1.4,15.19943926679169,12.641000040355083,15.209543475285672,12.37247456807491,15.444781428797741,12.494776172477165,15.489335554882711,12.582015424572791,0.8316754202882746,0.8134678459073555,0.808996632945539,0.8123018175951748
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run1.csv,per40,1.3,0.1,full,1.3,7.329712716800744,6.028855331601272,7.431951269423518,6.1470543191998015,7.376810823874283,6.1484207874161605,6.735982623541896,6.119052089834137,0.8225227324097271,0.8271117632982834,0.8334795258023202,0.9084126892561124
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,per240,1.3,0.1,no,1.3,7.65760731145161,5.067034953734335,7.273027299720953,5.403467787070685,7.308622810333063,5.44369258827259,7.336337466177742,5.460603165004424,0.6616995032060223,0.7429461714351054,0.7448315133428695,0.7443227891545477
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,per240,1.5,0.1,full,1.5,7.73287196483707,2.8595003226192373,7.787251908019089,5.942194833475152,7.70429485555009,5.495552326863078,7.921271532279823,5.500732783020765,0.36978503402383517,0.7630669848186175,0.7133102288918942,0.6944254796221583
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,per240,1.3,0.1,no,1.3,7.6505935518267485,4.735807019585884,7.418834994577635,5.237481684868625,7.239938812574895,5.314426157318043,6.632372770899949,5.229822761908778,0.6190117129480895,0.7059709090034563,0.7340429656791477,0.7885296774715426
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,per240,1.3,0.1,full,1.3,7.325116800254555,6.038467333284917,7.490559237919824,6.2316484973834925,7.520333057676912,6.236150795726607,7.516602520511834,6.232888719972375,0.824350996433951,0.8319336780405813,0.8292386451369483,0.8292162187588913
