probe,r_m,freq_hz,t_arr_s,t_end_s,t_paras_s,margin_s,margin_T,c_g_f_m_s,c_g_2f_m_s
IN,9.373,1.3,15.528841833594761,34.759611064363995,31.217119123120295,-3.5424919412437,-4.60523952361681,0.603586545631668,0.30025192148682567
IN,9.373,1.4,16.780212234365884,34.63735509150874,33.618435978744934,-1.018919112763804,-1.4264867578693254,0.5585745799331483,0.27880535566633813
IN,9.373,1.5,18.00049295173886,34.66715961840553,36.01975283436958,1.352593215964049,2.0288898239460735,0.5207079620058161,0.2602183319552489
IN,9.373,1.6,19.20781958921887,34.83281958921887,38.42106968999421,3.5882501007753405,5.741200161240545,0.4879783442604259,0.24395468620804583
OUT,12.4,1.3,20.543864156254674,39.774633387023904,41.29865327287866,1.5240198858547558,1.9812258516111827,0.603586545631668,0.30025192148682567
OUT,12.4,1.4,22.199363246147122,40.056506103289976,44.47547275540779,4.418966652117817,6.186553312964943,0.5585745799331483,0.27880535566633813
OUT,12.4,1.5,23.813732273718326,40.480398940384994,47.65229223793692,7.171893297551925,10.757839946327888,0.5207079620058161,0.2602183319552489
OUT,12.4,1.6,25.410963715599493,41.03596371559949,50.82911172046605,9.79314800486656,15.669036807786496,0.4879783442604259,0.24395468620804583
