config,probe,n_samples,n_diffs_nonzero,n_diffs_zero,frac_zero,step_5pct_mm,step_50pct_mm,step_min_mm,update_rate_hz,samples_per_update
h272/high,8804/250,41545,13510,28034,0.6748026189100712,0.07999999999992724,0.09000000000003183,0.009999999999990905,81.29934527248219,3.075055514433753
h272/high,9373/170,41545,12876,28668,0.6900635470826112,0.010000000000047748,0.09000000000003183,0.009999999999934062,77.4841132293472,3.2264678471575023
h272/high,9373/340,41545,10178,31366,0.7550067398420951,0.009999999999990905,0.07999999999998408,0.009999999999990905,61.24831503947622,4.081744940066811
h272/high,8804/250,15003,5123,9879,0.6585121983735502,0.019999999999924967,0.09000000000003183,0.009999999999934062,85.37195040661246,2.9283622877220377
h272/high,9373/170,15003,5545,9457,0.6303826156512465,0.07999999999992724,0.09000000000003183,0.009999999999934062,92.40434608718839,2.7055004508566274
h272/high,9373/340,15003,3716,11286,0.7522996933742168,0.009999999999934062,0.09000000000003183,0.009999999999934062,61.92507665644581,4.037136706135629
h272/high,8804/250,3746,1250,2495,0.6662216288384513,0.07999999999992724,0.09000000000003183,0.009999999999990905,83.44459279038719,2.996
h272/high,9373/170,3746,1297,2448,0.653671562082777,0.07999999999992724,0.09000000000003183,0.009999999999934062,86.58210947930574,2.8874325366229763
h272/high,9373/340,3746,894,2851,0.7612817089452604,0.09000000000003183,0.09000000000003183,0.009999999999934062,59.67957276368492,4.18903803131991
h272/high,8804/250,9998,1614,8383,0.8385515654696409,0.07999999999998408,0.07999999999998408,0.009999999999990905,40.36210863258978,6.193928128872367
h272/high,9373/170,9998,2858,7139,0.7141142342702811,0.07999999999998408,0.07999999999998408,0.009999999999990905,71.47144143242973,3.4979006298110566
h272/high,9373/340,9998,2477,7520,0.7522256677003101,0.009999999999990905,0.07999999999998408,0.009999999999990905,61.94358307492247,4.035930561162697
h272/high,8804/250,14494,3251,11242,0.775684813358173,0.010000000000047748,0.08999999999997499,0.009999999999934062,56.078796660456774,4.458012919101815
h272/high,9373/170,14494,4242,10251,0.7073069757814117,0.010000000000047748,0.08999999999997499,0.009999999999934062,73.17325605464707,3.4165487977369167
h272/high,9373/340,14494,2744,11749,0.8106672186572829,0.009999999999990905,0.08999999999997499,0.009999999999934062,47.33319533567929,5.281705539358601
h272/high,12400/250,14494,2837,11656,0.8042503277444284,0.009999999999934062,0.08000000000004093,0.009999999999934062,48.93741806389291,5.108565385971096
h272/high,8804/250,17497,6054,11442,0.6539780521262003,0.05000000000001137,0.08999999999997499,0.009999999999934062,86.50548696844994,2.8899900891972248
h272/high,9373/170,17497,5897,11599,0.6629515317786923,0.06800000000000649,0.08999999999997499,0.009999999999934062,84.26211705532694,2.966932338477192
h272/high,9373/340,17497,2245,15251,0.8716849565614998,0.010000000000047748,0.07999999999998408,0.009999999999934062,32.078760859625056,7.793318485523385
h272/high,12400/250,17497,4504,12992,0.7425697302240513,0.03999999999996362,0.08999999999997499,0.009999999999934062,64.3575674439872,3.8845470692717585
h272/high,8804/250,17496,5679,11816,0.6753929694198343,0.060000000000002274,0.08999999999997499,0.009999999999934062,81.15175764504144,3.0806480014086985
h272/high,9373/170,17496,5641,11854,0.6775650185767362,0.060000000000002274,0.08999999999997499,0.009999999999934062,80.60874535581594,3.101400460911186
h272/high,9373/340,17496,2559,14936,0.853729637039154,0.009999999999990905,0.08999999999997499,0.009999999999990905,36.567590740211486,6.836654943337241
h272/high,12400/250,17496,4569,12926,0.7388396684767077,0.029999999999972715,0.08000000000004093,0.009999999999934062,65.29008288082309,3.8290654410155396
h272/high,8804/250,21229,7356,13872,0.6534765404183154,0.07999999999998408,0.09000000000003183,0.009999999999990905,86.63086489542114,2.8858075040783033
h272/high,9373/170,21229,5927,15301,0.7207932918786508,0.07999999999998408,0.09000000000003183,0.009999999999934062,69.80167703033729,3.5815758393791124
h272/high,9373/340,21229,4904,16324,0.768984360278877,0.07999999999998408,0.07999999999998408,0.009999999999934062,57.75390993028076,4.328711256117455
h272/high,12400/250,21229,5031,16197,0.7630016958733747,0.07999999999998408,0.07999999999998408,0.009999999999934062,59.249576031656304,4.219439475253429
h272/high,8804/250,20408,5071,15336,0.7515068358896457,0.029999999999972715,0.09000000000003183,0.009999999999934062,62.12329102758857,4.024255570893315
h272/high,9373/170,20408,6423,13984,0.6852550595383937,0.049999999999954525,0.08999999999997499,0.009999999999934062,78.68623511540159,3.1771757745601743
h272/high,9373/340,20408,5019,15388,0.7540549811339247,0.029999999999972715,0.08999999999997499,0.009999999999934062,61.48625471651884,4.065949392309225
h272/high,12400/250,20408,7224,13183,0.6460038222178665,0.05000000000006821,0.09000000000003183,0.009999999999934062,88.4990444455334,2.8248892580287928
h272/high,8804/250,52091,8891,43199,0.8293146477250912,0.07999999999998408,0.07999999999998408,0.009999999999934062,42.6713380687272,5.85873355078169
h272/high,9373/170,52091,7488,44602,0.8562488001535803,0.07999999999998408,0.07999999999998408,0.009999999999934062,35.93779996160492,6.9564636752136755
h272/high,9373/340,52091,12767,39323,0.7549049721635631,0.009999999999990905,0.07999999999998408,0.009999999999990905,61.273756959109235,4.080050129239446
h272/high,12400/250,52091,17127,34963,0.6712036859282012,0.010000000000047748,0.09000000000008868,0.009999999999934062,82.1990785179497,3.041396625211654
h272/high,8804/250,67826,18089,49736,0.7332989310726133,0.010000000000047748,0.08999999999997499,0.009999999999934062,66.67526723184666,3.749516280612527
h272/high,9373/170,67826,23183,44642,0.6581938813122005,0.06999999999993634,0.08999999999997499,0.009999999999934062,85.45152967194987,2.925635163697537
h272/high,9373/340,67826,16689,51136,0.7539402875046074,0.010000000000047748,0.08000000000004093,0.009999999999934062,61.51492812384814,4.064054167415663
h272/high,12400/250,67826,18537,49288,0.7266936970143753,0.06999999999999318,0.08000000000004093,0.009999999999934062,68.32657574640619,3.6588984193774614
h272/high,8804/250,46112,7120,38991,0.8455899893734684,0.009999999999990905,0.08999999999997499,0.009999999999990905,38.60250265663291,6.47626404494382
h272/high,9373/170,46112,8121,37990,0.8238815033289237,0.009999999999990905,0.08999999999997499,0.009999999999990905,44.02962416776908,5.677995320773304
h272/high,9373/340,46112,6125,39986,0.8671683546225413,0.009999999999990905,0.08999999999997499,0.009999999999990905,33.20791134436468,7.528326530612245
h272/high,12400/250,46112,16998,29113,0.6313677864284011,0.07999999999992724,0.08000000000004093,0.009999999999934062,92.15805339289975,2.712730909518767
h272/high,8804/250,38099,8232,29866,0.7839256653892592,0.01999999999998181,0.08000000000004093,0.009999999999934062,54.01858365268518,4.6280369290573375
h272/high,9373/170,38099,8029,30069,0.7892540290828914,0.01999999999998181,0.08000000000004093,0.009999999999934062,52.68649272927713,4.7450491966621
h272/high,9373/340,38099,5463,32635,0.8566066460181637,0.010000000000047748,0.08999999999997499,0.009999999999934062,35.848338495459075,6.973823906278602
h272/high,12400/250,38099,15612,22486,0.590214709433566,0.07999999999992724,0.08999999999997499,0.009999999999934062,102.44632264160848,2.4403023315398413
h272/high,8804/250,18218,4849,13368,0.7338200581874074,0.009999999999990905,0.07999999999998408,0.009999999999990905,66.54498545314816,3.756857083934832
h272/high,9373/170,18218,3238,14979,0.8222539386287534,0.009999999999990905,0.08999999999997499,0.009999999999934062,44.43651534281166,5.626003705991352
h272/high,9373/340,18218,2422,15795,0.8670472635450404,0.009999999999990905,0.08999999999997499,0.009999999999934062,33.23818411373991,7.521469859620149
h272/high,12400/250,18218,7754,10463,0.5743536257342043,0.07999999999992724,0.08999999999997499,0.009999999999934062,106.41159356644893,2.349368068093887
h272/high,8804/250,67497,17096,50400,0.7467109162024417,0.010000000000047748,0.08000000000004093,0.009999999999934062,63.3222709493896,3.9480580252690687
h272/high,9373/170,67497,19075,48421,0.7173906601872704,0.010000000000047748,0.08000000000004093,0.009999999999934062,70.6523349531824,3.538453473132372
h272/high,9373/340,67497,16650,50846,0.753318715183122,0.010000000000047748,0.08000000000004093,0.009999999999934062,61.67032120421951,4.053813813813814
h272/high,12400/250,67497,26306,41190,0.6102583856821145,0.07999999999992724,0.08999999999997499,0.009999999999934062,97.43540357947138,2.56580247852201
h272/high,8804/250,67511,12499,55011,0.814857058213598,0.010000000000047748,0.07999999999998408,0.009999999999934062,46.2857354466005,5.401232098567886
h272/high,9373/170,67511,13899,53611,0.7941193897200415,0.010000000000047748,0.07999999999998408,0.009999999999990905,51.47015256998963,4.857183970069789
h272/high,9373/340,67511,17814,49696,0.736127981039846,0.01999999999998181,0.08999999999997499,0.009999999999934062,65.96800474003851,3.789715953744246
h272/high,12400/250,67511,21491,46019,0.681661976003555,0.029999999999972715,0.09000000000003183,0.009999999999934062,79.58450599911124,3.1413149690568143
h272/high,8804/250,25583,3744,21838,0.8536470956141037,0.009999999999934062,0.08000000000004093,0.009999999999934062,36.58822609647408,6.832799145299146
h272/high,9373/170,25583,4602,20980,0.8201078883590024,0.009999999999990905,0.08000000000004093,0.009999999999934062,44.97302791024939,5.558887440243373
h272/high,9373/340,25583,4869,20713,0.8096708623250723,0.010000000000047748,0.07999999999998408,0.009999999999934062,47.582284418731916,5.254056274388992
h272/high,12400/250,25583,9320,16262,0.6356813384410914,0.07999999999998408,0.09000000000003183,0.009999999999934062,91.07966538972715,2.7448497854077254
h272/high,8804/250,89999,23179,66819,0.7424498322184937,0.010000000000047748,0.08999999999997499,0.009999999999934062,64.38754194537655,3.8827386858794597
h272/high,9373/170,89999,24301,65697,0.7299828885086336,0.010000000000047748,0.08999999999997499,0.009999999999934062,67.50427787284163,3.7034689930455538
h272/high,9373/340,89999,21743,68255,0.75840574234983,0.010000000000047748,0.08000000000004093,0.009999999999934062,60.398564412542505,4.139171227521501
h272/high,12400/250,89999,21993,68005,0.7556279028422854,0.040000000000020464,0.08999999999997499,0.009999999999934062,61.093024289428655,4.092120220070022
h272/high,8804/250,22498,3807,18690,0.8307774369915989,0.010000000000047748,0.08999999999997499,0.009999999999934062,42.30564075210028,5.909377462568952
h272/high,9373/170,22498,4003,18494,0.8220651642441215,0.010000000000047748,0.08000000000004093,0.009999999999934062,44.48370893896964,5.620034973769672
h272/high,9373/340,22498,4096,18401,0.8179312797261857,0.020000000000038654,0.08000000000004093,0.009999999999990905,45.51718006845358,5.492431640625
h272/high,12400/250,22498,6725,15772,0.7010712539449704,0.03000000000002956,0.08999999999997499,0.009999999999934062,74.73218651375738,3.3452788104089217
h272/high,8804/250,17498,4145,13352,0.7631022460993313,0.040000000000020464,0.08999999999997499,0.009999999999934062,59.224438475167176,4.221230398069964
h272/high,9373/170,17498,5009,12488,0.7137223524032691,0.03999999999996362,0.08999999999997499,0.009999999999934062,71.56941189918271,3.4931123976841687
h272/high,9373/340,17498,3893,13604,0.7775047150940161,0.03000000000002956,0.08999999999997499,0.009999999999934062,55.62382122649597,4.494477266889288
h272/high,12400/250,17498,3407,14090,0.8052809052980511,0.029999999999972715,0.08999999999997499,0.009999999999934062,48.679773675487226,5.135603169944233
h272/high,8804/250,22497,4212,18284,0.8127667140825036,0.010000000000047748,0.08999999999997499,0.009999999999990905,46.80832147937411,5.3409306742640075
h272/high,9373/170,22497,5425,17071,0.7588460170697012,0.010000000000047748,0.08999999999997499,0.009999999999934062,60.28849573257468,4.146728110599079
h272/high,9373/340,22497,5189,17307,0.7693367709815079,0.010000000000047748,0.08999999999997499,0.009999999999990905,57.66580725462305,4.335324725380612
h272/high,12400/250,22497,5504,16992,0.7553342816500711,0.010000000000047748,0.08999999999997499,0.009999999999934062,61.16642958748222,4.087209302325581
h100/low,8804/250,7750,254,7495,0.9672215769776745,0.010000000000019327,0.07999999999998408,0.010000000000019327,8.194605755581366,30.507874015748033
h100/low,9373/170,7750,185,7564,0.9761259517357078,0.009999999999990905,0.01999999999999602,0.009999999999990905,5.968512066073042,41.88648648648649
h100/low,9373/340,7750,382,7367,0.950703316556975,0.010000000000019327,0.07999999999998408,0.010000000000019327,12.324170860756228,20.285340314136125
h100/low,12400/250,7750,173,7576,0.9776745386501484,0.009999999999990905,0.01999999999999602,0.009999999999990905,5.581365337462898,44.79190751445087
h100/low,8804/250,17746,2835,14910,0.8402366863905325,0.09000000000000341,0.09000000000000341,0.010000000000005116,39.94082840236687,6.2592592592592595
h100/low,9373/170,17746,2946,14799,0.8339814032121724,0.0899999999999892,0.0899999999999892,0.010000000000005116,41.50464919695688,6.0234215885947044
h100/low,9373/340,17746,3580,14165,0.7982530290222598,0.09000000000000341,0.09000000000000341,0.010000000000005116,50.43674274443506,4.956703910614525
h100/low,12400/250,17746,3200,14545,0.8196675119752043,0.0899999999999892,0.0899999999999892,0.009999999999990905,45.08312200619893,5.5453125
h100/low,8804/250,2427,614,1812,0.7469084913437758,0.020000000000010232,0.09000000000000341,0.010000000000005116,63.27287716405606,3.95114006514658
h100/low,9373/170,2427,364,2062,0.8499587798845837,0.009999999999990905,0.0799999999999983,0.009999999999990905,37.51030502885408,6.664835164835165
h100/low,9373/340,2427,621,1805,0.7440230832646332,0.020000000000010232,0.09000000000000341,0.010000000000005116,63.99422918384172,3.9066022544283414
h100/low,12400/250,2427,417,2009,0.8281121187139324,0.009999999999990905,0.0799999999999983,0.009999999999990905,42.9719703215169,5.817745803357314
h100/low,8804/250,17499,46,17452,0.997371128128929,0.010000000000005116,0.010000000000005116,0.010000000000005116,0.6572179677677449,380.39130434782606
h100/low,9373/170,17499,2020,15478,0.884558235226883,0.009999999999990905,0.09000000000000341,0.009999999999990905,28.860441193279232,8.662376237623763
h100/low,9373/340,17499,3757,13741,0.7852897473997028,0.0799999999999983,0.09000000000000341,0.010000000000005116,53.67756315007429,4.657439446366782
h100/low,12400/250,17499,2006,15492,0.8853583266659046,0.0800000000000125,0.0800000000000125,0.009999999999990905,28.66041833352383,8.72283150548355
h100/low,8804/250,7747,1328,6418,0.8285566744126001,0.010000000000005116,0.09000000000000341,0.010000000000005116,42.86083139684999,5.832831325301205
h100/low,9373/170,7747,1329,6417,0.8284275755228505,0.010000000000005116,0.09000000000000341,0.009999999999990905,42.893106119287374,5.8284424379232505
h100/low,9373/340,7747,1603,6143,0.7930544797314744,0.010000000000005116,0.09000000000000341,0.009999999999990905,51.73638006713142,4.832189644416719
h100/low,12400/250,7747,1663,6083,0.7853085463465014,0.010000000000005116,0.09000000000000341,0.009999999999990905,53.67286341337465,4.6578472639807575
h100/low,8804/250,8286,1144,7141,0.8619191309595655,0.09000000000000341,0.09000000000000341,0.0799999999999983,34.52021726010863,7.2421328671328675
h100/low,9373/170,8286,1513,6772,0.8173808086904043,0.0799999999999983,0.0799999999999983,0.010000000000005116,45.65479782739891,5.475875743555849
h100/low,9373/340,8286,1048,7237,0.8735063367531684,0.09000000000000341,0.09000000000000341,0.09000000000000341,31.623415811707904,7.905534351145038
h100/low,12400/250,8286,1222,7063,0.8525045262522631,0.0799999999999983,0.0799999999999983,0.0799999999999983,36.87386843693422,6.779869067103109
h100/low,8804/250,8246,1121,7124,0.864038811400849,0.09000000000000341,0.09000000000000341,0.0799999999999983,33.99029714978775,7.355040142729705
h100/low,9373/170,8246,1442,6803,0.8251061249241964,0.0799999999999983,0.0799999999999983,0.0799999999999983,43.72346876895087,5.717753120665742
h100/low,9373/340,8246,1054,7191,0.8721649484536083,0.09000000000000341,0.09000000000000341,0.09000000000000341,31.958762886597935,7.82258064516129
h100/low,12400/250,8246,1578,6667,0.8086112795633718,0.0799999999999983,0.0799999999999983,0.010000000000005116,47.84718010915706,5.224968314321926
h100/low,8804/250,8248,995,7252,0.8793500666909179,0.0799999999999983,0.0799999999999983,0.009999999999990905,30.162483327270525,8.288442211055276
h100/low,9373/170,8248,1449,6798,0.8242997453619498,0.09000000000000341,0.09000000000000341,0.010000000000005116,43.925063659512546,5.691511387163561
h100/low,9373/340,8248,1197,7050,0.8548563113859585,0.0799999999999983,0.0799999999999983,0.009999999999990905,36.28592215351037,6.889724310776942
h100/low,12400/250,8248,1592,6655,0.8069601067054687,0.09000000000000341,0.09000000000000341,0.010000000000005116,48.259973323632835,5.180276381909548
h100/low,8804/250,17497,28,17468,0.9983996342021033,0.060000000000002274,0.060000000000002274,0.060000000000002274,0.40009144947416553,624.8571428571429
h100/low,9373/170,17497,2109,15387,0.8794581618655692,0.009999999999990905,0.09000000000000341,0.009999999999990905,30.135459533607683,8.295874822190612
h100/low,9373/340,17497,3724,13772,0.7871513488797439,0.09000000000000341,0.09000000000000341,0.030000000000001137,53.21216278006401,4.698174006444683
h100/low,12400/250,17497,1969,15527,0.8874599908550526,0.0800000000000125,0.0800000000000125,0.009999999999990905,28.13500228623685,8.885728796343322
