path,name,probe,freq_hz,amp_V,wind,mooring,N_periods,n_samples,A_LS_mm,A_stokes2_mm,residual_rms_mm
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,12400/250,1.50000,0.20000,full,below_90_loose230,10,1670,11.44519,0.05165,1.28740
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,12400/250,1.50000,0.20000,full,below_90_loose230,12,2004,11.43231,0.08049,1.29166
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,12400/250,1.50000,0.20000,full,below_90_loose230,15,2505,11.47257,0.07232,1.33580
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,12400/250,1.50000,0.20000,full,below_90_loose230,20,3340,11.43609,0.02819,1.45457
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.20000,full,below_90_loose230,5,960,15.21558,1.48089,2.33825
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.20000,full,below_90_loose230,8,1536,15.39276,1.45069,2.93978
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.20000,full,below_90_loose230,10,1920,15.35914,1.61832,3.05608
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.20000,full,below_90_loose230,12,2304,15.47230,1.56431,2.96473
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.20000,full,below_90_loose230,15,2880,15.37905,1.72397,3.02924
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.20000,full,below_90_loose230,20,3840,15.09278,1.66703,3.09557
