f_hz,amp_V,c_g,dt_8804_s,dt_9373_s,dt_9373f_s,dt_12400_s,U_paddle_to_8804_mm_s,U_8804_to_9373_mm_s,U_9373_to_12400_mm_s,dt_9373_parallel_diff_s
1.3,0.1,0.603586545631668,-0.11973333333333334,-0.17835555555555554,-0.1564888888888889,-0.09626666666666667,4.954663226180185,37.534368375795744,-9.879866068653245,0.021866666666666645
1.3,0.2,0.603586545631668,-0.134,-0.13266666666666668,-0.13466666666666666,-0.134,5.545029557139293,-0.8537005695783668,0.16047427290719846,-0.001999999999999974
1.3,0.3,0.603586545631668,-0.07100000000000004,-0.092,-0.097,-0.09700000000000002,2.9380380489320146,13.445783970859335,0.6017785234020001,-0.0050000000000000044
1.4,0.1,0.5585745799331483,-0.07533333333333334,-0.13066666666666668,-0.15800000000000003,0.132,2.6697431797869697,30.34148985570237,-27.074152884244523,-0.02733333333333335
1.4,0.2,0.5585745799331483,-0.12133333333333332,-0.15466666666666667,-0.15000000000000002,0.554,4.299940342665738,18.27800593717011,-73.04523988820286,0.004666666666666652
1.4,0.3,0.5585745799331483,-0.11500000000000002,-0.159,-0.137,-0.126,4.075492907196923,24.126967837064523,-3.4014481415484865,0.021999999999999992
1.5,0.1,0.5207079620058161,0.20066666666666666,0.08333333333333331,0.10933333333333332,-0.11133333333333333,-6.1799311896540505,55.91104109963699,17.43683300414164,0.02600000000000001
1.5,0.2,0.5207079620058161,-0.14266666666666666,0.498,0.5146666666666666,-0.19933333333333336,4.393705231182614,-305.2869914588133,62.46207987100053,0.016666666666666607
1.5,0.3,0.5207079620058161,-0.09,-0.12400000000000001,-0.104,-0.17500000000000002,2.771729935559126,16.201494864099363,4.5682113863590255,0.020000000000000018
1.6,0.1,0.4879783442604259,-0.10066666666666664,-0.16199999999999998,-0.21666666666666667,-0.17866666666666664,2.7227436418702973,25.667608120653238,1.3111048588654697,-0.0546666666666667
1.6,0.2,0.4879783442604259,0.5113333333333333,0.4653333333333333,0.4453333333333333,0.212,-13.830095187513368,19.25070609048992,19.928793854755142,-0.020000000000000018
1.6,0.3,0.4879783442604259,-0.14559999999999998,-0.19546666666666668,-0.18666666666666665,-0.19866666666666666,3.938061002546179,20.868881385052862,0.2517321329021687,0.00880000000000003
