category,freq,amp,Kt_source,n_full,n_no,Kt_mean_full,Kt_mean_no,Kt_std_full,Kt_std_no,dKt_mean,dKt_ci_lo,dKt_ci_hi,welch_p,verdict
canon_above_loose,1.2,0.1,FFT,2,2,0.7386576790403951,0.7315083537274384,0.026640825695457473,0.028213214452145564,0.007047921463794489,-0.03163833845089248,0.04593698907680599,0.8188766019377547,null
canon_above_loose,1.2,0.1,eff,2,2,0.7386576790403951,0.7315083537274384,0.026640825695457473,0.028213214452145564,0.007065653874176351,-0.03163833845089248,0.04593698907680599,0.8188766019377547,null
canon_above_loose,1.2,0.2,FFT,2,2,0.8109914008376099,0.8117207210450834,0.00545477159481664,0.048810860600996486,-0.0007646659581971812,-0.039100916718508016,0.037642276303560984,0.9865695422494141,null
canon_above_loose,1.2,0.2,eff,2,2,0.8109914008376099,0.8117207210450834,0.00545477159481664,0.048810860600996486,-0.00040993812697097116,-0.039100916718508016,0.037642276303560984,0.9865695422494141,null
canon_above_loose,1.2,0.3,FFT,2,2,0.8076817976179734,0.8456662268345819,0.03314217667173618,0.021619381714976942,-0.037754632803537115,-0.0767066985001964,0.0007378400669794116,0.32537419480095675,null
canon_above_loose,1.2,0.3,eff,2,2,0.8076817976179734,0.8456662268345819,0.03314217667173618,0.021619381714976942,-0.03806839203233739,-0.0767066985001964,0.0007378400669794116,0.32537419480095675,null
canon_above_loose,1.3,0.1,FFT,4,9,0.6340535754789551,0.6297261840764807,0.029309401516075986,0.03811542382278757,0.0042637732711205915,-0.029222995502514993,0.03971519483660044,0.8293290994863584,null
canon_above_loose,1.3,0.1,eff,4,9,0.6340535754789551,0.6297261840764807,0.029309401516075986,0.03811542382278757,0.004432698148128065,-0.029152830896734615,0.03934323300527515,0.8293290994863584,null
canon_above_loose,1.3,0.2,FFT,2,2,0.7123144841118896,0.7228307853366472,0.0069569479302035294,0.01239626165910927,-0.010578035661911773,-0.024201086963085316,0.0031684845135698803,0.42960730044393375,null
canon_above_loose,1.3,0.2,eff,2,2,0.7123144841118896,0.7228307853366472,0.0069569479302035294,0.01239626165910927,-0.010483690409392697,-0.024201086963085316,0.0031684845135698803,0.42960730044393375,null
canon_above_loose,1.3,0.3,FFT,3,2,0.7252936058924635,0.7392469645734133,0.018950643801176857,0.013482552449357055,-0.013930523573386975,-0.035982562604862656,0.008075845242963009,0.4100073687511716,null
canon_above_loose,1.3,0.3,eff,3,2,0.7252936058924635,0.7392469645734133,0.018950643801176857,0.013482552449357055,-0.014154942380773292,-0.035982562604862656,0.008075845242963009,0.4100073687511716,null
canon_above_loose,1.4,0.1,FFT,2,2,0.5898217266622202,0.5391279713894654,0.02177266141738197,0.021244160724354366,0.050702955260031976,0.020276268631237326,0.0811112419142721,0.14260924197300762,enhance
canon_above_loose,1.4,0.1,eff,2,2,0.5898217266622202,0.5391279713894654,0.02177266141738197,0.021244160724354366,0.05083452787276542,0.020276268631237326,0.0811112419142721,0.14260924197300762,enhance
canon_above_loose,1.4,0.2,FFT,2,2,0.6106069324319496,0.6926221088777524,0.05743464553221707,0.011835822999535017,-0.08224895788282391,-0.1309967944805741,-0.033033558411031616,0.2825765386729041,decrease
canon_above_loose,1.4,0.2,eff,2,2,0.6106069324319496,0.6926221088777524,0.05743464553221707,0.011835822999535017,-0.08170229369790225,-0.1309967944805741,-0.033033558411031616,0.2825765386729041,decrease
canon_above_loose,1.4,0.3,FFT,2,2,0.7406786833042307,0.7681068413788379,0.009205139687066382,0.08949999428823614,-0.026535212750858433,-0.09722322764647029,0.04236691149725591,0.7396862376542095,null
canon_above_loose,1.4,0.3,eff,2,2,0.7406786833042307,0.7027880306189634,0.009205139687066382,0.0028747537664598703,0.037842159463025625,0.029348878108267806,0.046432427262266596,0.0850670331558919,enhance
canon_above_loose,1.5,0.1,FFT,1,3,0.5863376407771078,0.39568187499937535,,0.02334754811239787,0.1906588281597957,0.16489717411375976,0.21042557824327185,,enhance
canon_above_loose,1.5,0.1,eff,1,3,0.5863376407771078,0.39568187499937535,,0.02334754811239787,0.19057250122354208,0.16489717411375976,0.21042557824327185,,enhance
canon_above_loose,1.5,0.2,FFT,2,2,0.6080889118234961,0.5719660433635162,0.01675650014661302,0.0026584658126630207,0.03599676595642905,0.022394414373669846,0.04985132254628999,0.19442099752969902,enhance
canon_above_loose,1.5,0.2,eff,2,2,0.6080889118234961,0.5719660433635162,0.01675650014661302,0.0026584658126630207,0.03622286983474458,0.022394414373669846,0.04985132254628999,0.19442099752969902,enhance
canon_above_loose,1.5,0.3,FFT,2,2,0.6523174317885705,0.5760574968801037,0.003779512305987669,0.0016982329524751131,0.07629943227832045,0.0723865840905954,0.08013328572633838,0.0077810575413978155,enhance
canon_above_loose,1.5,0.3,eff,2,2,0.6523174317885705,0.5760574968801037,0.003779512305987669,0.0016982329524751131,0.07627348616783605,0.0723865840905954,0.08013328572633838,0.0077810575413978155,enhance
canon_above_loose,1.6,0.1,FFT,1,2,0.4817981607319542,0.2804359052383587,,0.0036670632945158825,0.20133528823824048,0.198769250171003,0.20395526081618792,,enhance
canon_above_loose,1.6,0.1,eff,1,2,0.4817981607319542,0.2804359052383587,,0.0036670632945158825,0.20132206391109528,0.198769250171003,0.20395526081618792,,enhance
canon_above_loose,1.6,0.2,FFT,2,3,0.46831486493161856,0.4520048085887181,0.10324439460352523,0.0033741235403430695,0.01665764376054397,-0.05880097799329148,0.09142109067909227,0.860078400400108,null
canon_above_loose,1.6,0.2,eff,2,3,0.46831486493161856,0.4520048085887181,0.10324439460352523,0.0033741235403430695,0.016301467284994653,-0.05880097799329148,0.09142109067909227,0.860078400400108,null
canon_above_loose,1.6,0.3,FFT,2,2,0.6547807372231512,0.4805500186002988,0.049157768715297714,0.005590685364825663,0.174018042839242,0.13551771548331687,0.21294372176238796,0.12156140867222112,enhance
canon_above_loose,1.6,0.3,eff,2,2,0.6547807372231512,0.4805500186002988,0.049157768715297714,0.005590685364825663,0.17413985169736135,0.13551771548331687,0.21294372176238796,0.12156140867222112,enhance
nov_above_stiff,1.2,0.1,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.2,0.1,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.2,0.2,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.2,0.2,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.2,0.3,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.2,0.3,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.3,0.1,FFT,2,7,0.7054637555335885,0.6174831924993153,0.014201806220491687,0.06062447787266762,0.08813850929560266,0.042949883474143954,0.1309888090447668,0.009813949899048841,enhance
nov_above_stiff,1.3,0.1,eff,2,7,0.7054637555335885,0.6174831924993153,0.014201806220491687,0.06062447787266762,0.08769064951606179,0.044182830433991654,0.12943798876191848,0.009813949899048841,enhance
nov_above_stiff,1.3,0.2,FFT,2,5,0.6854129152724604,0.6829094038381864,0.03366404676033493,0.03497115834902035,0.0026704394610260994,-0.03770370805174028,0.04538153243794807,0.9381167687108805,null
nov_above_stiff,1.3,0.2,eff,2,5,0.6854129152724604,0.6829094038381864,0.03366404676033493,0.03497115834902035,0.002845685584125786,-0.03770370805174028,0.04538153243794796,0.9381167687108805,null
nov_above_stiff,1.3,0.3,FFT,2,5,0.6844165931888768,0.7135909126778406,0.007757369018110611,0.027934576181184542,-0.029311055707026946,-0.0529766913276184,-0.007809458127638558,0.0860119634687794,decrease
nov_above_stiff,1.3,0.3,eff,2,5,0.6844165931888768,0.7135909126778406,0.007757369018110611,0.027934576181184542,-0.029218445492334832,-0.052782467394166366,-0.007116737785686222,0.0860119634687794,decrease
nov_above_stiff,1.4,0.1,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.4,0.1,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.4,0.2,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.4,0.2,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.4,0.3,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.4,0.3,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.5,0.1,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.5,0.1,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.5,0.2,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.5,0.2,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.5,0.3,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.5,0.3,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.6,0.1,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.6,0.1,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.6,0.2,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.6,0.2,eff,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.6,0.3,FFT,0,0,,,,,,,,,insufficient_n
nov_above_stiff,1.6,0.3,eff,0,0,,,,,,,,,insufficient_n
canon_loose230,1.2,0.1,FFT,2,0,0.8253948214753244,,0.009742523801631538,,,,,,insufficient_n
canon_loose230,1.2,0.1,eff,2,0,0.8253948214753244,,0.009742523801631538,,,,,,insufficient_n
canon_loose230,1.2,0.2,FFT,2,2,0.873006989071313,0.8451215316053762,0.014135501815875822,0.01906837435046207,0.027901933708521606,0.0044067714670409375,0.05136414346483276,0.24882257512919242,enhance
canon_loose230,1.2,0.2,eff,2,2,0.873006989071313,0.8451215316053762,0.014135501815875822,0.01906837435046207,0.027865883124879677,0.0044067714670409375,0.05136414346483276,0.24882257512919242,enhance
canon_loose230,1.2,0.3,FFT,0,0,,,,,,,,,insufficient_n
canon_loose230,1.2,0.3,eff,0,0,,,,,,,,,insufficient_n
