probe,segment,n,mean_mm,sigma_mm,Hs_mm,mean_std,sigma_std,Hs_std
8804/250 (upstream),long nowave runs (ensemble across 5),5,0.177,3.617,14.467,0.227,0.186,0.745
8804/250 (upstream),2 s pre-paddle (ensemble across 70 wave runs),70,0.332,3.748,14.993,0.309,0.75,3.0
"9373/170 (IN, wall)",long nowave runs (ensemble across 5),5,0.161,4.281,17.122,0.443,0.197,0.789
"9373/170 (IN, wall)",2 s pre-paddle (ensemble across 70 wave runs),70,0.306,3.941,15.762,0.308,0.907,3.628
"9373/340 (IN, far)",long nowave runs (ensemble across 5),5,0.165,4.078,16.314,0.298,0.223,0.894
"9373/340 (IN, far)",2 s pre-paddle (ensemble across 70 wave runs),70,0.401,4.121,16.482,0.396,0.755,3.019
12400/250 (OUT),long nowave runs (ensemble across 5),5,-0.013,0.36,1.439,0.063,0.05,0.202
12400/250 (OUT),2 s pre-paddle (ensemble across 70 wave runs),70,-0.002,0.326,1.303,0.06,0.053,0.214
