freq,wind,amp_v,mean_grand,spread_max_min,spread_std,n_cfgs,cfgs,n_runs_total
1.3,full,0.1,0.7985592756243439,0.06216634872077065,0.031083174360385324,2,"100/high,100/low",8
1.3,no,0.1,0.6566350591521712,0.0010030229367444798,0.0005015114683722399,2,"100/high,272/high",14
