freq_hz,n_runs,c_g_m_per_s,in_start_s,in_end_s,out_start_s,out_end_s,delta_t_s,width_s,N_off_T,N_len_T
1.3,30,0.603586545631668,33.311,40.997,38.18,45.868,5.015022322659912,7.686,23.11680561632681,9.9918
1.4,15,0.5585745799331483,30.516,37.678,35.6,42.736,5.4191510117812385,7.161999999999999,19.23010287188776,10.026799999999998
1.5,16,0.5207079620058161,27.622999999999998,34.295,33.274,39.948,5.813239321979467,6.672000000000004,14.433760572391707,10.008000000000006
1.6,18,0.4879783442604259,25.061999999999998,31.308999999999997,31.244,37.508,6.20314412638062,6.247,9.366688657249801,9.9952
