f_hz,amp_V,n_nw,n_fw,snap_nw_s,snap_fw_s,A_nw_mm,A_fw_mm,A_nw_std,A_fw_std,dt_ms,dt_T,A_enh_pct,alias_flag
1.3,0.1,9,10,0.23955555555555552,0.06120000000000001,7.55836113707475,7.497561805895856,0.18782866470565066,0.12007922790506856,-178.35555555555553,-0.2318622222222222,-0.8043983355156938,False
1.3,0.2,2,3,0.166,0.03333333333333333,14.735339173090448,14.803540877732113,0.001193447538689166,0.16252692233468094,-132.66666666666669,-0.17246666666666668,0.462844484545111,False
1.3,0.3,2,4,0.10600000000000001,0.014000000000000002,21.533106105092287,22.28833470532636,0.05876204935537168,0.5041084676957772,-92.00000000000001,-0.11960000000000003,3.5072905717743694,False
1.4,0.1,2,3,0.336,0.20533333333333334,8.053527524071864,7.822090937001568,0.06265888456196524,0.4767249466012966,-130.66666666666669,-0.18293333333333334,-2.8737293860179367,False
1.4,0.2,2,3,0.26,0.10533333333333333,15.195177019567009,15.703169009201062,0.17504938826197983,0.7445002502206446,-154.66666666666669,-0.21653333333333333,3.343113337738061,False
1.4,0.3,2,4,0.19,0.031,22.464800461477164,23.120335769978215,0.05267287712653779,0.4083368391250946,-159.0,-0.2226,2.9180553356134573,False
1.5,0.1,2,2,-0.21,-0.020000000000000004,7.653467475533633,7.981980107997432,0.13393780752982076,0.3244986478405335,190.0,0.28500000000000003,4.292337212041188,False
1.5,0.2,2,3,-0.28600000000000003,0.21199999999999997,15.086197461397154,15.49428961889302,0.0053977995228414255,0.6133768738679499,,0.747,2.705069707194943,True
1.5,0.3,2,4,0.22999999999999998,0.10600000000000001,21.40211220706513,23.440386547658917,0.12915741382897367,0.7566418749739365,-123.99999999999997,-0.18599999999999994,9.523706449501395,False
1.6,0.1,2,3,-0.041999999999999996,-0.204,7.13226858721488,8.24230700547057,0.03186044387115355,0.3979472678779079,-161.99999999999997,-0.2592,15.563609315632283,False
1.6,0.2,2,3,-0.18,0.2853333333333334,14.692129632196965,15.623945920225063,0.105992098206731,0.6626705847083352,,0.7445333333333335,6.342281965618357,True
1.6,0.3,3,5,0.27066666666666667,0.0752,21.000594990053486,23.145368255515997,0.16098937374831593,0.8528647729947072,-195.46666666666667,-0.31274666666666673,10.21291666487707,False
