run_idx,file_date,WindCondition,is_wave,WaveFreq_Hz,WaveAmp_V,run_mtime,path,mean_9373/170,sigma_9373/170,Hs_9373/170,mean_12400/250,sigma_12400/250,Hs_12400/250
17,2026-03-26,full,True,1.6,0.3,1774535211.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop330-run1.csv,0.4482933333333267,3.5688093281442987,14.275237312577195,-0.04268000000000349,0.3453662617275351,1.3814650469101404
18,2026-03-26,full,True,1.3,0.3,1774535490.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,0.4367066666666698,3.859671052667826,15.438684210671305,-0.04288000000000354,0.36811535894334313,1.4724614357733725
19,2026-03-26,full,True,1.4,0.3,1774535723.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,0.44069220095694195,6.290376234518109,25.161504938072436,0.042173333333338635,0.41643851647779956,1.6657540659111982
20,2026-03-26,full,True,1.5,0.3,1774535979.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,0.3422799999999863,3.0319671119077563,12.127868447631025,0.026359999999988795,0.3064547324985577,1.2258189299942308
21,2026-03-26,full,True,1.6,0.3,1774536250.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,0.7966933333333321,5.3268281052460615,21.307312420984246,-0.04939999999999579,0.3234341553863677,1.2937366215454709
22,2026-03-26,full,True,1.4,0.1,1774536513.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,-0.11369333333332939,3.4324423918914886,13.729769567565954,-0.030813333333336156,0.3767853873578315,1.507141549431326
23,2026-03-26,full,True,1.5,0.1,1774536793.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,-0.03626666666666324,4.584615177306327,18.33846070922531,-0.017653333333331564,0.3822699747565271,1.5290798990261083
24,2026-03-26,full,True,1.6,0.1,1774537094.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,0.2217466666666718,3.7659088112594876,15.06363524503795,-0.054546666666661865,0.4154846541321529,1.6619386165286116
25,2026-03-26,full,False,,,1774537792.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-nowave-depth580-mstop30-run2.csv,0.47460000000000735,4.508710044090464,18.034840176361858,-0.1365599999999948,0.31114484497213946,1.2445793798885578
26,2026-03-26,full,True,1.2,0.1,1774537936.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1200-per33-depth580-mstop30-run1.csv,0.6063466666666684,3.2276538619290416,12.910615447716166,0.1178266666666659,0.37833123404290286,1.5133249361716115
27,2026-03-26,full,True,1.2,0.1,1774538087.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1200-per40-depth580-mstop30-run1.csv,0.3412933333333349,4.38841280531911,17.55365122127644,-0.057453333333335174,0.2936534652143564,1.1746138608574257
28,2026-03-26,full,True,1.2,0.1,1774538432.0,/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1200-per40-depth580-mstop30-run2.csv,0.2977733333333349,3.592155780701331,14.368623122805324,-0.042893333333339306,0.39016107294211333,1.5606442917684533
