freq_hz,panel,wind,n,mean_kt,std_kt,n_canon,n_earlier
0.65,reverse,no,12,0.9647226738960827,0.008020993070896544,0,12
0.65,reverse,full,7,0.9536815891841682,0.010280057952882341,0,7
1.3,full,no,13,0.6608993197314192,0.05820318579256411,0,13
1.3,full,full,9,0.6818582319796656,0.049999973023085155,0,9
1.3,reverse,no,17,0.6649931723573731,0.06086835160369665,0,17
1.3,reverse,full,6,0.691764421331642,0.019794666194273957,0,6
