scenario,f_true_hz,bin_offset,A_nearest_bin,err_nearest_bin,A_parabolic,err_parabolic,A_goertzel,err_goertzel,A_ls_fit,err_ls_fit
clean,1.34680,0.36000,0.79193,-0.20807,0.80072,-0.19928,0.99251,-0.00749,1.00000,0.00000
clean,1.34940,0.38000,0.76912,-0.23088,0.78091,-0.21909,0.99238,-0.00762,1.00000,0.00000
clean,1.35200,0.40000,0.74565,-0.25435,0.76132,-0.23868,0.99273,-0.00727,1.00000,-0.00000
clean,1.35460,0.42000,0.72162,-0.27838,0.74235,-0.25765,0.99354,-0.00646,1.00000,0.00000
clean,1.35720,0.44000,0.69711,-0.30289,0.72449,-0.27551,0.99475,-0.00525,1.00000,0.00000
clean,1.35980,0.46000,0.67222,-0.32778,0.70847,-0.29153,0.99630,-0.00370,1.00000,0.00000
clean,1.36240,0.48000,0.64703,-0.35297,0.69534,-0.30466,0.99807,-0.00193,1.00000,0.00000
clean,1.36500,0.50000,0.62161,-0.37839,0.68689,-0.31311,0.99996,-0.00004,1.00000,0.00000
clean,1.36760,0.52000,0.67605,-0.32395,0.70803,-0.29197,1.00185,0.00185,1.00000,0.00000
clean,1.37020,0.54000,0.70037,-0.29963,0.72448,-0.27552,1.00361,0.00361,1.00000,0.00000
clean,1.37280,0.56000,0.72384,-0.27616,0.74219,-0.25781,1.00515,0.00515,1.00000,0.00000
clean,1.37540,0.58000,0.74641,-0.25359,0.76046,-0.23954,1.00636,0.00636,1.00000,-0.00000
clean,1.37800,0.60000,0.76806,-0.23194,0.77886,-0.22114,1.00718,0.00718,1.00000,-0.00000
white_noise,1.22200,-0.60000,0.74743,-0.25257,0.76412,-0.23588,1.00256,0.00256,1.01046,0.01046
white_noise,1.22460,-0.58000,0.72959,-0.27041,0.75000,-0.25000,1.00140,0.00140,1.00944,0.00944
white_noise,1.22720,-0.56000,0.70554,-0.29446,0.72973,-0.27027,0.98912,-0.01088,0.99490,-0.00510
white_noise,1.22980,-0.54000,0.66485,-0.33515,0.70377,-0.29623,0.98812,-0.01188,0.99295,-0.00705
white_noise,1.23240,-0.52000,0.65352,-0.34648,0.69827,-0.30173,0.98956,-0.01044,0.99158,-0.00842
white_noise,1.23500,-0.50000,0.63192,-0.36808,0.69495,-0.30505,1.00100,0.00100,1.00142,0.00142
white_noise,1.23760,-0.48000,0.66708,-0.33292,0.70050,-0.29950,0.99859,-0.00141,0.99606,-0.00394
white_noise,1.24020,-0.46000,0.70314,-0.29686,0.72502,-0.27498,0.99851,-0.00149,0.99464,-0.00536
white_noise,1.24280,-0.44000,0.72324,-0.27676,0.74090,-0.25910,0.99276,-0.00724,0.98708,-0.01292
white_noise,1.24540,-0.42000,0.76411,-0.23589,0.77853,-0.22147,1.02370,0.02370,1.01674,0.01674
white_noise,1.24800,-0.40000,0.77403,-0.22597,0.78503,-0.21497,1.01687,0.01687,1.00816,0.00816
white_noise,1.25060,-0.38000,0.79466,-0.20534,0.80432,-0.19568,1.02414,0.02414,1.01573,0.01573
white_noise,1.25320,-0.36000,0.82392,-0.17608,0.83011,-0.16989,1.02703,0.02703,1.01896,0.01896
white_noise,1.25580,-0.34000,0.81663,-0.18337,0.82257,-0.17743,1.00184,0.00184,0.99486,-0.00514
white_noise,1.25840,-0.32000,0.84739,-0.15261,0.85080,-0.14920,1.00518,0.00518,0.99895,-0.00105
white_noise,1.26100,-0.30000,0.86249,-0.13751,0.86519,-0.13481,0.99626,-0.00374,0.99064,-0.00936
white_noise,1.26360,-0.28000,0.87496,-0.12504,0.87725,-0.12275,0.99555,-0.00445,0.99218,-0.00782
white_noise,1.26620,-0.26000,0.90266,-0.09734,0.90432,-0.09568,1.00913,0.00913,1.00793,0.00793
white_noise,1.26880,-0.24000,0.89883,-0.10117,0.90030,-0.09970,0.99229,-0.00771,0.99272,-0.00728
