panel,moor_grp,wind,amp_v,is_final,n,ka_mean,Kt_mean,Kt_std
full,above_50,full,0.1,False,4,0.05512105459559898,0.6340535754789551,0.029309401516075986
full,above_50,full,0.2,False,2,0.1056169220258463,0.7123144841118896,0.0069569479302035294
full,above_50,full,0.3,False,3,0.16221889725719854,0.7252936058924635,0.018950643801176857
full,above_50,no,0.1,False,9,0.05157021336540193,0.6297261840764807,0.03811542382278757
full,above_50,no,0.2,False,2,0.10471588009118282,0.7228307853366472,0.01239626165910927
full,above_50,no,0.3,False,2,0.1547536308170793,0.7392469645734133,0.013482552449357055
full,below_90,full,0.1,False,5,0.0515644729269223,0.757659993952541,0.03179844329951606
full,below_90,full,0.1,True,10,0.051046803384820615,0.786101193776828,0.0463429240008389
full,below_90,full,0.2,False,3,0.10138149118784878,0.8338406933916694,0.022672432309549673
full,below_90,full,0.2,True,3,0.10078922457038064,0.8577400119116368,0.02177818354832349
full,below_90,full,0.3,False,1,0.1549888095769968,0.8193971022527544,
full,below_90,full,0.3,True,4,0.15174909776444628,0.8326549362116215,0.01733432425349199
full,below_90,no,0.1,False,14,0.05152305454352376,0.6563484811702442,0.029663895449006883
full,below_90,no,0.1,True,9,0.05146075282398056,0.660448298308046,0.028072648132193297
full,below_90,no,0.2,False,5,0.10097140859847771,0.8000283106637316,0.017653882333904244
full,below_90,no,0.2,True,2,0.1003248764132751,0.8105551405550326,0.007927247527011596
full,below_90,no,0.3,False,1,0.14956729688091336,0.8021695205403911,
full,below_90,no,0.3,True,2,0.14660715870948232,0.8296500372148343,0.002272246419115457
reverse,above_50,full,0.1,False,2,0.05458354330719592,0.7054637555335885,0.014201806220491687
reverse,above_50,full,0.2,False,2,0.1038886528410895,0.6854129152724604,0.03366404676033493
reverse,above_50,full,0.3,False,2,0.1600027040187953,0.6844165931888768,0.007757369018110611
reverse,above_50,no,0.1,False,7,0.05156673081368105,0.6174831924993153,0.06062447787266762
reverse,above_50,no,0.2,False,5,0.10475774219938146,0.6829094038381864,0.03497115834902035
reverse,above_50,no,0.3,False,5,0.15488747587365922,0.7135909126778406,0.027934576181184542
