short_path,file_date,category,Mooring,PanelCondition,WindCondition,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],per_train,mstop_sec,run_num,Kt_FFT,Kt_LS,Kt_PSD,Kt_eff,override_fired,quality_flag,cut_in_any,cut_out_any,fft_ls_dis,ws_in_low,any_flag
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run3.csv,2026-03-07,canon_above_loose,above_50,full,no,1.3,0.1,40.0,30.0,3,0.6291770885872056,0.6298558165171744,0.6376701511229447,0.6291770885872056,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,2026-03-07,canon_above_loose,above_50,full,no,1.3,0.1,40.0,30.0,2,0.6528809226123108,0.6523526664872877,0.6688435032547798,0.6528809226123108,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,no,1.3,0.1,40.0,30.0,1,0.568845952275019,0.5690160862974937,0.5705081617343538,0.568845952275019,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.3,0.1,240.0,30.0,1,0.5988037776605865,0.5978926125404378,0.6018436026471635,0.5988037776605865,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,2026-03-13,canon_above_loose,above_50,full,no,1.3,0.1,240.0,30.0,2,0.6275298844368525,0.6265039895851,0.6276437817717706,0.6275298844368525,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,no,1.3,0.1,240.0,30.0,1,0.5896298030115753,0.5905600514923365,0.5900417021031504,0.5896298030115753,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop90-run1.csv,2026-03-07,canon_above_loose,above_50,full,full,1.3,0.2,40.0,90.0,1,0.7073951790540809,0.7056909552444312,0.6973030127467006,0.7073951790540809,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.3,0.2,240.0,30.0,1,0.7172337891696982,0.7146638019653189,0.711132735775853,0.7172337891696982,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,no,1.3,0.2,40.0,30.0,1,0.7140653046561283,0.7135235579778905,0.7214527000211145,0.7140653046561283,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.3,0.2,240.0,30.0,1,0.7315962660171662,0.731616776438339,0.7401575908468738,0.7315962660171662,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,full,1.3,0.3,40.0,30.0,1,0.7285209631350478,0.731213828310638,0.738390359778261,0.7285209631350478,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run2.csv,2026-03-12,canon_above_loose,above_50,full,full,1.3,0.3,40.0,30.0,2,0.7424233267600752,0.742754575781725,0.7426336172850595,0.7424233267600752,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.3,0.3,240.0,30.0,1,0.7049365277822677,0.7059635655139653,0.6983552189468017,0.7049365277822677,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,no,1.3,0.3,40.0,30.0,1,0.748780568838057,0.7468274202602248,0.7353112435477139,0.748780568838057,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.3,0.3,240.0,30.0,1,0.7297133603087697,0.7286678761005319,0.7306358958248934,0.7297133603087697,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,full,1.4,0.1,40.0,30.0,1,0.5744261301295107,0.5755590570766262,0.5841135625950654,0.5744261301295107,False,ok,False,False,False,True,True
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run2.csv,2026-03-07,canon_above_loose,above_50,full,full,1.4,0.1,40.0,30.0,2,0.6052173231949297,0.6055968149610867,0.6186086186982499,0.6052173231949297,False,ok,False,False,False,True,True
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,no,1.4,0.1,40.0,30.0,1,0.5241060812806576,0.5239683984949494,0.5310643598103642,0.5241060812806576,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.4,0.1,240.0,30.0,1,0.5541498614982734,0.5530378267968336,0.5746289309880979,0.5541498614982734,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,full,1.4,0.2,40.0,30.0,1,0.651219359762826,0.6528864580583759,0.6567219636694386,0.651219359762826,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.4,0.2,240.0,30.0,1,0.5699945051010733,0.5703442549741958,0.5864660935183906,0.5699945051010733,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,no,1.4,0.2,40.0,30.0,1,0.7009912995816474,0.6992952594260772,0.6951538042086024,0.7009912995816474,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.4,0.2,240.0,30.0,1,0.6842529181738576,0.684300026649354,0.6858751389306063,0.6842529181738576,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,full,1.4,0.3,40.0,30.0,1,0.7341696666097366,0.7369519259722705,0.7402371013082627,0.7341696666097366,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.4,0.3,240.0,30.0,1,0.7471876999987247,0.7453821711618168,0.7343378180514859,0.7471876999987247,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,no,1.4,0.3,40.0,30.0,1,0.7048207885014688,0.7034709975844303,0.7199484769438724,0.7048207885014688,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.4,0.3,240.0,30.0,1,0.8313928942562069,0.7007552727364581,0.7153210923938266,0.7007552727364581,True,ok,True,False,True,False,True
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,full,1.5,0.1,40.0,30.0,1,0.5863376407771078,0.5893195151621045,0.6030739288626343,0.5863376407771078,False,ok,False,False,False,True,True
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,no,1.5,0.1,40.0,30.0,1,0.38969309580094214,0.38955936947173025,0.40228687888878817,0.38969309580094214,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run2.csv,2026-03-13,canon_above_loose,above_50,full,no,1.5,0.1,240.0,30.0,2,0.42144046666334806,0.42104558301455813,0.43239107386225956,0.42144046666334806,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.5,0.1,240.0,30.0,1,0.37591206253383597,0.3745399640085643,0.38196501596681576,0.37591206253383597,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,full,1.5,0.2,40.0,30.0,1,0.6199375467061196,0.620558984953949,0.6201888532440063,0.6199375467061196,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.5,0.2,240.0,30.0,1,0.5962402769408727,0.5971232125146702,0.6016092218158982,0.5962402769408727,False,ok,False,False,False,False,False
20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,2026-03-07,canon_above_loose,above_50,full,no,1.5,0.2,40.0,30.0,1,0.5738458625672028,0.5730236824136088,0.5788596894336387,0.5738458625672028,False,ok,False,False,False,False,False
20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,2026-03-13,canon_above_loose,above_50,full,no,1.5,0.2,240.0,30.0,1,0.5700862241598296,0.5682495212321583,0.5795282203372284,0.5700862241598296,False,ok,False,False,False,False,False
20260312-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,2026-03-12,canon_above_loose,above_50,full,full,1.5,0.3,40.0,30.0,1,0.6496449130074287,0.6511319460406204,0.6561629122636454,0.6496449130074287,False,ok,False,False,False,False,False
20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,2026-03-14,canon_above_loose,above_50,full,full,1.5,0.3,240.0,30.0,1,0.6549899505697124,0.6565579936253911,0.6628796432164007,0.6549899505697124,False,ok,False,False,False,False,False
