path,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],WindCondition,PanelCondition,Mooring,quality_flag,Probe 9373/170 hg_snap_shift,Probe 9373/340 hg_snap_shift,Probe 12400/250 hg_snap_shift,Probe 8804/250 hg_snap_shift,9373/170_shift_periods,9373/340_shift_periods,12400/250_shift_periods,8804/250_shift_periods
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop330-run1.csv,1.60000,0.30000,full,full,below_90_loose230,ok,25.00000,19.00000,15.00000,15.00000,0.16026,0.12179,0.09615,0.09615
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,1.30000,0.10000,full,full,below_90_loose230,ok,16.00000,12.00000,-2.00000,-29.00000,0.08333,0.06250,-0.01042,-0.15104
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,1.30000,0.30000,full,full,below_90_loose230,ok,8.00000,-2.00000,-44.00000,-70.00000,0.04167,-0.01042,-0.22917,-0.36458
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1200-per40-depth580-mstop30-run2.csv,1.20000,0.10000,full,full,below_90_loose230,ok,-37.00000,-21.00000,36.00000,74.00000,-0.17788,-0.10096,0.17308,0.35577
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq0800-per240-depth580-mstop30-run1.csv,0.80000,0.20000,full,full,below_90_loose230,ok,-40.00000,-54.00000,9.00000,-18.00000,-0.12821,-0.17308,0.02885,-0.05769
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,1.50000,0.30000,full,full,below_90_loose230,ok,21.00000,23.00000,-49.00000,3.00000,0.12575,0.13772,-0.29341,0.01796
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1100-per240-depth580-mstop30-run1.csv,1.10000,0.20000,full,full,below_90_loose230,ok,106.00000,113.00000,68.00000,-35.00000,0.46696,0.49780,0.29956,-0.15419
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1200-per40-depth580-mstop30-run1.csv,1.20000,0.10000,full,full,below_90_loose230,ok,-41.00000,-41.00000,33.00000,71.00000,-0.19712,-0.19712,0.15865,0.34135
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,1.60000,0.10000,full,full,below_90_loose230,ok,-59.00000,-62.00000,-54.00000,-55.00000,-0.37821,-0.39744,-0.34615,-0.35256
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1100-per40-depth580-mstop30-run1.csv,1.10000,0.10000,full,full,below_90_loose230,ok,-15.00000,-104.00000,76.00000,17.00000,-0.06608,-0.45815,0.33480,0.07489
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,1.60000,0.20000,full,full,below_90_loose230,ok,70.00000,67.00000,70.00000,70.00000,0.44872,0.42949,0.44872,0.44872
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq0900-per240-depth580-mstop30-run1.csv,0.90000,0.20000,full,full,below_90_loose230,ok,-123.00000,17.00000,88.00000,-65.00000,-0.44245,0.06115,0.31655,-0.23381
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,1.30000,0.10000,full,full,below_90_loose230,ok,27.00000,19.00000,-22.00000,-65.00000,0.14062,0.09896,-0.11458,-0.33854
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,1.40000,0.30000,full,full,below_90_loose230,ok,8.00000,7.00000,43.00000,-33.00000,0.04469,0.03911,0.24022,-0.18436
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1000-per240-depth580-mstop30-run1.csv,1.00000,0.20000,full,full,below_90_loose230,ok,1.00000,22.00000,99.00000,93.00000,0.00400,0.08800,0.39600,0.37200
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,1.50000,0.10000,full,full,below_90_loose300,ok,-66.00000,-75.00000,43.00000,68.00000,-0.39521,-0.44910,0.25749,0.40719
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1700-per40-depth580-mstop30-run1.csv,1.70000,0.30000,full,full,below_90_loose300,ok,-24.00000,-28.00000,17.00000,-9.00000,-0.16327,-0.19048,0.11565,-0.06122
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,1.30000,0.20000,no,full,below_90_loose300,ok,42.00000,39.00000,6.00000,-31.00000,0.21875,0.20312,0.03125,-0.16146
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,1.60000,0.20000,full,full,below_90_loose300,ok,71.00000,63.00000,75.00000,70.00000,0.45513,0.40385,0.48077,0.44872
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,1.40000,0.10000,no,full,below_90_loose300,ok,85.00000,84.00000,-54.00000,30.00000,0.47486,0.46927,-0.30168,0.16760
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.50000,0.20000,full,full,below_90_loose300,ok,52.00000,58.00000,-14.00000,24.00000,0.31138,0.34731,-0.08383,0.14371
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,1.60000,0.20000,no,full,below_90_loose300,ok,-48.00000,-48.00000,-32.00000,-60.00000,-0.30769,-0.30769,-0.20513,-0.38462
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1700-per240-depth580-mstop30-run1-rettetterpå.csv,1.70000,0.20000,no,full,below_90_loose300,ok,-57.00000,-59.00000,-1.00000,-53.00000,-0.38776,-0.40136,-0.00680,-0.36054
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,1.50000,0.10000,no,full,below_90_loose300,ok,-53.00000,-54.00000,56.00000,84.00000,-0.31737,-0.32335,0.33533,0.50299
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run2.csv,1.50000,0.30000,full,full,below_90_loose300,ok,29.00000,34.00000,-46.00000,3.00000,0.17365,0.20359,-0.27545,0.01796
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,1.30000,0.20000,full,full,below_90_loose300,ok,3.00000,-3.00000,-24.00000,-62.00000,0.01562,-0.01562,-0.12500,-0.32292
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,1.40000,0.20000,no,full,below_90_loose300,ok,62.00000,61.00000,-71.00000,10.00000,0.34637,0.34078,-0.39665,0.05587
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq0800-per40-depth580-mstop30-run1.csv,0.80000,0.20000,full,full,below_90_loose300,ok,-53.00000,-55.00000,10.00000,-6.00000,-0.16987,-0.17628,0.03205,-0.01923
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,1.50000,0.30000,no,full,below_90_loose300,ok,53.00000,50.00000,-10.00000,22.00000,0.31737,0.29940,-0.05988,0.13174
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,1.40000,0.20000,full,full,below_90_loose300,ok,27.00000,35.00000,70.00000,-17.00000,0.15084,0.19553,0.39106,-0.09497
