amp_r,freq_r,WindCondition,n,disagree_frac_mean,disagree_frac_max,n_inconsistent
0.1,0.6,full,1,0.0270701235821623,0.0270701235821623,0
0.1,0.7,full,1,0.013363929049696868,0.013363929049696868,0
0.1,0.8,full,1,0.012621960994705334,0.012621960994705334,0
0.1,0.9,full,1,0.004075727216719808,0.004075727216719808,0
0.1,1.0,full,1,0.011871275414259752,0.011871275414259752,0
0.1,1.1,full,1,0.01906745416359558,0.01906745416359558,0
0.1,1.2,full,3,0.02054081853047199,0.024067516019372747,1
0.1,1.3,full,10,0.04249550395058131,0.10130911602033107,1
0.1,1.3,no,9,0.014414867052030982,0.03966911796076467,0
0.1,1.4,full,3,0.04681890545787481,0.12423983787886786,1
0.1,1.4,no,2,0.027174623706187,0.03570371553510794,0
0.1,1.5,full,3,0.14188253361625403,0.2791887676060942,2
0.1,1.5,no,2,0.041023431133413515,0.041275145223264,0
0.1,1.6,full,4,0.1291717491242099,0.15537703255591895,4
0.1,1.6,no,2,0.03233241611850414,0.038271808498377406,0
0.1,1.7,full,1,0.02435090462260046,0.02435090462260046,0
0.2,0.8,full,2,0.009376707067484578,0.013139635592836832,0
0.2,0.9,full,2,0.02488211307570102,0.03674523412311352,0
0.2,1.0,full,2,0.005065216247856704,0.005574502636466408,0
0.2,1.1,full,2,0.009375905951977072,0.01827043664991527,0
0.2,1.2,full,2,0.01931299738708059,0.025348372742195625,0
0.2,1.3,full,3,0.04172389846352003,0.05681511948653784,0
0.2,1.3,no,2,0.01299532611272369,0.013311347131232559,0
0.2,1.4,full,3,0.025300544127258393,0.052276559954474444,0
0.2,1.4,no,2,0.014559634931683826,0.014895810469665996,0
0.2,1.5,full,3,0.12882200226944054,0.23538201682278312,2
0.2,1.5,no,2,0.009369516196846946,0.012567160208980835,0
0.2,1.6,full,3,0.12608527205736567,0.23391806691103664,1
0.2,1.6,no,2,0.006080226590055045,0.010661870781472052,0
0.2,1.7,full,1,0.20727456144525108,0.20727456144525108,1
0.2,1.7,no,1,0.016333861847769714,0.016333861847769714,0
0.3,1.3,full,4,0.028738422384398568,0.04737269528386737,0
0.3,1.3,no,2,0.003943393864686954,0.00444917803652954,0
0.3,1.4,full,4,0.031067378818020172,0.10606733532995889,1
0.3,1.4,no,2,0.013447284766920422,0.014360160974540234,0
0.3,1.5,full,4,0.024176691177331462,0.028394517835262284,0
0.3,1.5,no,2,0.020745409511945805,0.036580141323658395,0
0.3,1.6,full,6,0.11425819450901999,0.17828793620235195,4
0.3,1.6,no,5,0.1481444919459596,0.6865090969282422,1
0.3,1.7,full,1,0.17107971164240326,0.17107971164240326,1
0.3,1.7,no,1,0.0108676908816268,0.0108676908816268,0
