_compare,group,freq,wind,amp_v,mean,std,count
mooring (full panel),below_90_loose230,0.8,no,0.2,0.94750391804972,,1
mooring (full panel),below_90_loose230,0.9,full,0.1,0.9556021017679518,,1
mooring (full panel),below_90_loose230,0.9,full,0.2,0.9491328873999981,,1
mooring (full panel),below_90_loose230,0.9,no,0.2,0.9272909241845274,,1
mooring (full panel),below_90_loose230,1.0,full,0.1,0.9047972133094941,,1
mooring (full panel),below_90_loose230,1.0,full,0.2,0.9310535475414777,,1
mooring (full panel),below_90_loose230,1.0,no,0.2,0.9448648593589496,,1
mooring (full panel),below_90_loose230,1.0,no,0.3,0.9275309402157471,,1
mooring (full panel),below_90_loose230,1.1,full,0.1,0.871224417507778,,1
mooring (full panel),below_90_loose230,1.1,full,0.2,0.9210087724338641,,1
mooring (full panel),below_90_loose230,1.1,no,0.2,0.8795908706854297,,1
mooring (full panel),below_90_loose230,1.2,full,0.1,0.8253948214753244,0.0097425238016315,2
mooring (full panel),below_90_loose230,1.2,full,0.2,0.873006989071313,0.014135501815875822,2
mooring (full panel),below_90_loose230,1.2,no,0.2,0.8451215316053762,0.01906837435046207,2
mooring (full panel),below_90_loose230,1.3,full,0.1,0.7896521966335137,0.049068652465339646,9
mooring (full panel),below_90_loose230,1.3,full,0.2,0.845834674764503,0.030300414979142556,4
mooring (full panel),below_90_loose230,1.3,full,0.3,0.8191112077483422,0.00040431588554765016,2
mooring (full panel),below_90_loose230,1.3,no,0.1,0.6550172440539184,0.028990230863733535,16
mooring (full panel),below_90_loose230,1.3,no,0.2,0.8000283106637316,0.01765388233390423,5
mooring (full panel),below_90_loose230,1.3,no,0.3,0.8021695205403911,,1
mooring (full panel),below_90_loose230,1.4,full,0.1,0.7265894872304342,0.05792002526405958,4
mooring (full panel),below_90_loose230,1.4,full,0.2,0.7659876784519613,0.03553841560123233,6
mooring (full panel),below_90_loose230,1.4,full,0.3,0.7625399976812641,0.007805210937606832,2
mooring (full panel),below_90_loose230,1.4,no,0.1,0.541045547523781,0.04120031897454176,5
mooring (full panel),below_90_loose230,1.4,no,0.2,0.7160158953010101,0.027958365491704412,5
mooring (full panel),below_90_loose230,1.4,no,0.3,0.7284436882274926,0.025223985236194586,3
mooring (full panel),below_90_loose230,1.5,full,0.1,0.764887065214749,0.07460310488526459,3
mooring (full panel),below_90_loose230,1.5,full,0.2,0.7082057174187845,0.049003689057419385,5
mooring (full panel),below_90_loose230,1.5,full,0.3,0.7253694393360042,0.002687632309569943,2
mooring (full panel),below_90_loose230,1.5,no,0.1,0.43857253513515726,0.03295887680400228,5
mooring (full panel),below_90_loose230,1.5,no,0.2,0.6171305673420532,0.01960648576334084,4
mooring (full panel),below_90_loose230,1.5,no,0.3,0.6066754798207341,0.009750250761146446,4
mooring (full panel),below_90_loose230,1.6,full,0.1,0.5906762382568657,0.04872493960908741,3
mooring (full panel),below_90_loose230,1.6,full,0.2,0.6452296413025504,0.026815954138275405,5
mooring (full panel),below_90_loose230,1.6,full,0.3,0.6874110523886319,0.014042452707691725,4
mooring (full panel),below_90_loose230,1.6,no,0.1,0.34197877508546914,0.02280594027569085,4
mooring (full panel),below_90_loose230,1.6,no,0.2,0.5004257905710535,0.010097470165984735,4
mooring (full panel),below_90_loose230,1.6,no,0.3,0.5454600491385049,0.021578663133099158,4
mooring (full panel),below_90_loose230,1.7,full,0.1,0.5335335761614055,0.018046847392391232,2
mooring (full panel),below_90_loose230,1.7,full,0.2,0.6127177062185722,0.04396718352635873,4
mooring (full panel),below_90_loose230,1.7,full,0.3,0.6483216624910093,,1
mooring (full panel),below_90_loose230,1.7,no,0.1,0.26883051981323824,0.006623685835302966,4
mooring (full panel),below_90_loose230,1.7,no,0.2,0.37129289541407123,,1
mooring (full panel),below_90_loose230,1.7,no,0.3,0.4040067945756295,,1
mooring (full panel),below_90_loose230,1.8,full,0.3,0.5940864857315616,,1
mooring (full panel),below_90_loose300,0.8,full,0.2,0.9771731220110985,,1
mooring (full panel),below_90_loose300,0.9,full,0.2,0.9374549284048481,,1
mooring (full panel),below_90_loose300,1.0,full,0.2,0.9547721870586049,,1
mooring (full panel),below_90_loose300,1.1,full,0.2,0.9410800101270974,,1
mooring (full panel),below_90_loose300,1.2,full,0.2,0.8440782714019921,,1
mooring (full panel),below_90_loose300,1.3,full,0.1,0.7570736896382272,0.024442376553993835,6
mooring (full panel),below_90_loose300,1.3,full,0.2,0.8457017084259536,0.00889123458516592,2
mooring (full panel),below_90_loose300,1.3,full,0.3,0.8372648105341852,0.01797811303693469,3
mooring (full panel),below_90_loose300,1.3,no,0.1,0.6646625023275913,0.028214813214122,7
mooring (full panel),below_90_loose300,1.3,no,0.2,0.8105551405550326,0.007927247527011596,2
mooring (full panel),below_90_loose300,1.3,no,0.3,0.8296500372148343,0.002272246419115457,2
mooring (full panel),below_90_loose300,1.4,full,0.1,0.6754905507357122,0.04902617672282458,2
mooring (full panel),below_90_loose300,1.4,full,0.2,0.7276858812736133,0.01331028162575752,2
mooring (full panel),below_90_loose300,1.4,full,0.3,0.7691734332125764,0.004118150509905979,3
mooring (full panel),below_90_loose300,1.4,no,0.1,0.5023336454369468,0.034339324603346134,2
mooring (full panel),below_90_loose300,1.4,no,0.2,0.6869259023268259,0.002256817242108046,2
mooring (full panel),below_90_loose300,1.4,no,0.3,0.6716122213891087,0.003026195423575637,2
mooring (full panel),below_90_loose300,1.5,full,0.1,0.6606900186222047,0.06264090068334312,2
mooring (full panel),below_90_loose300,1.5,full,0.2,0.7045930379341507,0.0026687929866254304,2
mooring (full panel),below_90_loose300,1.5,full,0.3,0.7300660924483774,0.014721277409202656,3
mooring (full panel),below_90_loose300,1.5,no,0.1,0.45268041226075945,0.016190210434491453,2
mooring (full panel),below_90_loose300,1.5,no,0.2,0.5943385138294799,0.020122228845276674,2
mooring (full panel),below_90_loose300,1.5,no,0.3,0.6117206005870217,0.002613055107282128,2
mooring (full panel),below_90_loose300,1.6,full,0.1,0.5965193258523221,0.0005939798305963095,2
mooring (full panel),below_90_loose300,1.6,full,0.2,0.6834358178655725,0.039678546926953884,2
mooring (full panel),below_90_loose300,1.6,full,0.3,0.7106651957818823,0.017063120874688403,3
mooring (full panel),below_90_loose300,1.6,no,0.1,0.36684544309566813,0.004564301078383501,2
mooring (full panel),below_90_loose300,1.6,no,0.2,0.485908920821774,5.2811599909129e-06,2
mooring (full panel),below_90_loose300,1.6,no,0.3,0.5223522127127694,0.006410225890941315,3
mooring (full panel),below_90_loose300,1.7,full,0.1,0.5294363775047335,,1
mooring (full panel),below_90_loose300,1.7,full,0.3,0.6621351780032726,,1
mooring (full panel),below_90_loose300,1.7,no,0.2,0.41196078785395773,,1
panel (above_50),full,0.5,full,0.2,1.0332964215413027,,1
panel (above_50),full,0.5,no,0.1,0.9924876541418826,,1
panel (above_50),full,0.5,no,0.3,0.9967072564313049,,1
panel (above_50),full,0.6,full,0.2,0.8752464298225271,0.005025669130120914,2
panel (above_50),full,0.6,full,0.3,0.8994401309081703,0.0012339773028135137,2
panel (above_50),full,0.6,no,0.3,0.8914903120888613,,1
panel (above_50),full,0.7,full,0.2,1.011301793849164,0.012282642361796452,3
panel (above_50),full,0.7,full,0.3,1.0133777561788784,0.004134901025905821,2
panel (above_50),full,0.7,no,0.2,1.0135335636446703,,1
panel (above_50),full,0.7,no,0.3,0.9997004138427128,,1
panel (above_50),full,0.8,full,0.2,0.9512275607675948,0.02305994463151558,2
panel (above_50),full,0.8,full,0.3,0.961371444228833,0.008045403604934035,2
panel (above_50),full,0.8,no,0.1,0.9475202666748878,,1
panel (above_50),full,0.8,no,0.2,0.9508467086180242,,1
panel (above_50),full,0.8,no,0.3,0.9469632236677955,,1
panel (above_50),full,0.9,full,0.2,0.8990895510929755,0.02334555337200635,2
panel (above_50),full,0.9,full,0.3,0.9382661796386178,0.00653887279300064,2
panel (above_50),full,0.9,no,0.1,0.9212963023693636,,1
panel (above_50),full,0.9,no,0.2,0.9255667350952019,,1
panel (above_50),full,0.9,no,0.3,0.9590969847200341,0.005644974356593943,2
panel (above_50),full,1.0,full,0.1,0.8492538356312959,,1
panel (above_50),full,1.0,full,0.2,0.921436774855195,0.0027120630206611583,2
panel (above_50),full,1.0,full,0.3,0.9507990437138834,0.0001310135233262819,2
panel (above_50),full,1.0,no,0.1,0.9000567895914193,0.02306044896028027,2
panel (above_50),full,1.0,no,0.2,0.9500545213546656,0.007569061559722284,2
panel (above_50),full,1.0,no,0.3,0.9587938397579903,0.0046832667221043105,2
panel (above_50),full,1.1,full,0.1,0.8143437366812741,0.016696234542759033,2
panel (above_50),full,1.1,full,0.2,0.9287023667258647,0.10737461681619395,2
panel (above_50),full,1.1,full,0.3,0.8667858988262526,0.021040099338112843,2
panel (above_50),full,1.1,no,0.1,0.863166847280092,,1
panel (above_50),full,1.1,no,0.2,0.8935932276334444,0.01433680925301419,2
panel (above_50),full,1.1,no,0.3,0.9037597998088969,0.017922151505470944,2
panel (above_50),full,1.2,full,0.1,0.7386576790403951,0.026640825695457473,2
panel (above_50),full,1.2,full,0.2,0.8109914008376099,0.00545477159481664,2
panel (above_50),full,1.2,full,0.3,0.8076817976179734,0.03314217667173618,2
panel (above_50),full,1.2,no,0.1,0.7315083537274384,0.028213214452145564,2
panel (above_50),full,1.2,no,0.2,0.8117207210450834,0.048810860600996486,2
panel (above_50),full,1.2,no,0.3,0.8456662268345819,0.021619381714976942,2
panel (above_50),full,1.3,full,0.1,0.6340535754789551,0.029309401516076014,4
panel (above_50),full,1.3,full,0.2,0.7123144841118896,0.00695694793020349,2
panel (above_50),full,1.3,full,0.3,0.7252936058924635,0.01895064380117684,3
panel (above_50),full,1.3,no,0.1,0.6297261840764808,0.038115423822787535,9
panel (above_50),full,1.3,no,0.2,0.7228307853366472,0.01239626165910927,2
panel (above_50),full,1.3,no,0.3,0.7392469645734133,0.013482552449357055,2
panel (above_50),full,1.4,full,0.1,0.5898217266622202,0.02177266141738197,2
panel (above_50),full,1.4,full,0.2,0.6106069324319496,0.05743464553221707,2
panel (above_50),full,1.4,full,0.3,0.7406786833042307,0.009205139687066342,2
panel (above_50),full,1.4,no,0.1,0.5391279713894654,0.021244160724354404,2
panel (above_50),full,1.4,no,0.2,0.6926221088777524,0.011835822999534977,2
panel (above_50),full,1.4,no,0.3,0.7681068413788379,0.0894999942882361,2
panel (above_50),full,1.5,full,0.1,0.5863376407771078,,1
panel (above_50),full,1.5,full,0.2,0.6080889118234961,0.01675650014661302,2
panel (above_50),full,1.5,full,0.3,0.6523174317885705,0.003779512305987708,2
panel (above_50),full,1.5,no,0.1,0.39568187499937535,0.023347548112397865,3
panel (above_50),full,1.5,no,0.2,0.5719660433635162,0.0026584658126630207,2
panel (above_50),full,1.5,no,0.3,0.5760574968801037,0.0016982329524751131,2
panel (above_50),full,1.6,full,0.1,0.4817981607319542,,1
panel (above_50),full,1.6,full,0.2,0.46831486493161856,0.10324439460352525,2
panel (above_50),full,1.6,full,0.3,0.6547807372231512,0.049157768715297714,2
panel (above_50),full,1.6,no,0.1,0.2804359052383587,0.0036670632945158626,2
panel (above_50),full,1.6,no,0.2,0.4520048085887181,0.0033741235403430903,3
panel (above_50),full,1.6,no,0.3,0.4845032301332474,,1
panel (above_50),full,1.7,full,0.1,0.4566639683977344,,1
panel (above_50),full,1.7,full,0.2,0.4377060845044002,0.11756534289404846,2
panel (above_50),full,1.7,full,0.3,0.6325873129223026,0.005506507882384602,2
panel (above_50),full,1.7,no,0.1,0.21736703320629214,0.012247906880074209,2
panel (above_50),full,1.7,no,0.2,0.33444966888383626,,1
panel (above_50),full,1.7,no,0.3,0.31095033466191485,,1
panel (above_50),full,1.8,full,0.1,0.4864624704911661,,1
panel (above_50),full,1.8,full,0.2,0.333211426898248,0.1435478448074952,3
panel (above_50),full,1.8,full,0.3,0.5661004997974463,0.0030936072001978674,2
panel (above_50),full,1.8,no,0.1,0.1723863902068833,,1
panel (above_50),full,1.9,full,0.2,0.39003165056863287,0.038090051068443556,2
panel (above_50),full,1.9,full,0.3,0.4640597969540824,0.0771997881669554,2
panel (above_50),full,1.9,no,0.1,0.1584973661189428,,1
panel (above_50),full,1.9,no,0.3,0.1645034178689035,,1
panel (above_50),no,0.4,no,0.1,1.434030865720982,,1
panel (above_50),no,0.5,no,0.1,1.1796800032693144,,1
panel (above_50),no,0.6,no,0.1,0.8001800750354262,,1
panel (above_50),no,0.65,full,0.1,0.9603399615881754,0.04943888350710057,2
panel (above_50),no,0.65,full,0.2,0.9818419539493036,0.04231299440981172,2
panel (above_50),no,0.65,full,0.3,1.0074346477031628,0.025587466061895502,2
panel (above_50),no,0.65,no,0.1,0.974608251115416,,1
panel (above_50),no,0.65,no,0.2,0.9727938723357492,,1
panel (above_50),no,0.65,no,0.3,0.9798090160927195,,1
panel (above_50),no,0.7,no,0.1,0.9226962218985001,,1
panel (above_50),no,0.8,no,0.1,0.9862940111493628,,1
panel (above_50),no,0.9,no,0.1,1.0029436718700517,,1
panel (above_50),no,1.0,no,0.1,0.9948634559541348,0.0034523533414399293,4
panel (above_50),no,1.0,no,0.2,0.9992930518418697,0.0019222810951727497,3
panel (above_50),no,1.1,no,0.1,0.9864922577231573,,1
