freq_hz,probe,t_arr_s,win_start_s,win_end_s,delta_s,t_paras_s,plateau_no_start,plateau_no_end,N_periods
1.3,IN,15.528841833594761,23.221149525902455,30.913457218210148,7.692307692307693,31.217119123120295,22.0,39.0,10
1.3,OUT,20.543864156254674,28.236171848562364,35.92847954087006,7.692307692307693,41.29865327287866,27.0,44.0,10
1.4,IN,16.780212234365884,23.923069377223026,33.208783662937314,9.285714285714288,33.618435978744934,22.0,39.0,13
1.4,OUT,22.199363246147122,29.342220389004265,38.62793467471855,9.285714285714288,44.47547275540779,27.0,43.0,13
1.5,IN,18.00049295173886,24.667159618405528,33.33382628507219,8.666666666666664,36.01975283436958,24.0,37.0,13
1.5,OUT,23.813732273718326,30.480398940384994,39.14706560705166,8.666666666666664,47.65229223793692,28.0,41.0,13
1.6,IN,19.20781958921887,25.45781958921887,33.58281958921887,8.125,38.42106968999421,26.0,37.0,13
1.6,OUT,25.410963715599493,31.660963715599493,39.78596371559949,8.125,50.82911172046605,29.0,41.0,13
