WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],Kt_fw,Kt_nw,Delta_Kt,ratio_Kt,ratio_D,std_nw,std_fw,n_nw,n_fw,sigma_pct,n_total
1.3,0.1,0.7570736896382272,0.6646625023275913,0.09241118731063591,1.139034753708867,0.7244233408071995,0.028214813214122,0.024442376553993835,7,6,3.73675839939175,13
1.4,0.1,0.6754905507357122,0.5023336454369468,0.17315690529876537,1.3447049722264723,0.6520622627768444,0.034339324603346134,0.04902617672282458,2,2,7.046911104541211,4
1.5,0.1,0.6606900186222047,0.45268041226075945,0.20800960636144522,1.4595065320423553,0.6199485437372155,0.016190210434491453,0.06264090068334312,2,2,6.528827145559989,4
1.6,0.1,0.5965193258523221,0.36684544309566813,0.229673882756654,1.6260780584284327,0.637254631981813,0.004564301078383501,0.0005939798305963095,2,2,0.6718885138183617,4
1.3,0.2,0.8457017084259536,0.8105551405550326,0.035146567870920964,1.0433611066199076,0.8144760012285747,0.007927247527011596,0.00889123458516592,2,2,1.0146731504977988,4
1.4,0.2,0.7276858812736133,0.6869259023268259,0.0407599789467874,1.0593367913609328,0.8698072461129066,0.002256817242108046,0.01331028162575752,2,2,1.078831647401211,4
1.5,0.2,0.7045930379341507,0.5943385138294799,0.11025452410467085,1.1855079580730379,0.7282105206844179,0.020122228845276674,0.0026687929866254304,2,2,1.8822110061316424,4
1.6,0.2,0.6834358178655725,0.485908920821774,0.1975268970437985,1.4065101268561586,0.61577450952943,5.2811599909129e-06,0.039678546926953884,2,2,2.903416377554317,4
1.3,0.3,0.8372648105341852,0.8296500372148343,0.007614773319350898,1.0091782956400677,0.9552992369657624,0.002272246419115457,0.01797811303693469,2,3,1.2105617333014742,5
1.4,0.3,0.7691734332125764,0.6716122213891087,0.09756121182346766,1.1452641996622395,0.7029085179839517,0.003026195423575637,0.004118150509905979,2,3,0.49299309247027057,5
1.5,0.3,0.7300660924483774,0.6117206005870217,0.11834549186135568,1.1934633094713314,0.6952053288423832,0.002613055107282128,0.014721277409202656,2,3,1.221797792686283,5
1.6,0.3,0.7106651957818823,0.5223522127127694,0.18831298306911282,1.3605095919688621,0.6057492820418491,0.006410225890941315,0.017063120874688403,3,3,1.8140957823066752,6
