freq_hz,wind,run_type,probe,path,t_arr_s,plateau_ref_lo_s,plateau_ref_hi_s,plateau_ref_med_mm,plateau_end_strict_s,plateau_end_strict_T_past_arr,plateau_end_relax_s,plateau_end_relax_T_past_arr,n_window_T
1.3,full,per240,IN,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,15.528841833594761,21.682687987440914,24.75961106436399,14.68240571680168,26.2,13.87250561632681,33.4,23.232505616326808,10
1.3,full,per240,OUT,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,20.543864156254674,26.697710310100828,29.774633387023904,12.788669151676247,61.1,52.722976596868925,64.1,56.622976596868924,10
1.3,no,per240,IN,fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,15.528841833594761,21.682687987440914,24.75961106436399,14.942390745629474,24.8,12.052505616326812,45.8,39.35250561632681,10
1.3,no,per240,OUT,fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,20.543864156254674,26.697710310100828,29.774633387023904,12.048629064854815,30.7,13.202976596868924,32.0,14.892976596868923,10
1.3,full,per240,IN,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,15.528841833594761,21.682687987440914,24.75961106436399,15.1854416955227,28.9,17.38250561632681,73.6,75.49250561632681,10
1.3,full,per240,OUT,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,20.543864156254674,26.697710310100828,29.774633387023904,12.664013255403601,31.0,13.592976596868924,34.0,17.492976596868925,10
1.3,full,per40,IN,fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,15.528841833594761,21.682687987440914,24.75961106436399,14.621481337484513,27.7,15.82250561632681,28.5,16.86250561632681,10
1.3,full,per40,OUT,fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,20.543864156254674,26.697710310100828,29.774633387023904,12.318256056215466,37.1,21.522976596868926,42.2,28.15297659686893,10
1.3,no,per40,IN,fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,15.528841833594761,21.682687987440914,24.75961106436399,14.866111662268247,24.8,12.052505616326812,37.4,28.43250561632681,10
1.3,no,per40,OUT,fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,20.543864156254674,26.697710310100828,29.774633387023904,11.990849267077728,32.6,15.672976596868926,34.1,17.622976596868927,10
1.4,full,per240,IN,fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,16.780212234365884,22.4944979486516,25.351640805794453,14.98409298918752,26.9,14.16770287188776,27.7,15.287702871887761,13
1.4,full,per240,OUT,fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,22.199363246147122,27.913648960432837,30.77079181757569,12.405881064785577,33.5,15.820891455394028,54.3,44.94089145539402,13
1.4,no,per40,IN,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,16.780212234365884,22.4944979486516,25.351640805794453,15.163650973517518,34.4,24.66770287188776,34.5,24.807702871887763,13
1.4,no,per40,OUT,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,22.199363246147122,27.913648960432837,30.77079181757569,10.644459707279836,34.9,17.780891455394027,35.3,18.340891455394022,13
1.4,full,per40,IN,fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,16.780212234365884,22.4944979486516,25.351640805794453,16.607189002450088,31.9,21.16770287188776,34.6,24.947702871887763,13
1.4,full,per40,OUT,fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,22.199363246147122,27.913648960432837,30.77079181757569,11.59970786594937,32.0,13.720891455394028,39.9,24.780891455394027,13
1.4,full,per240,IN,fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,16.780212234365884,22.4944979486516,25.351640805794453,15.671926785418785,32.6,22.147702871887763,52.6,50.14770287188776,13
1.4,full,per240,OUT,fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,22.199363246147122,27.913648960432837,30.77079181757569,11.562358510909652,34.2,16.80089145539403,80.0,80.92089145539403,13
1.4,no,per240,IN,fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,16.780212234365884,22.4944979486516,25.351640805794453,15.25203736384421,47.7,43.28770287188777,50.5,47.20770287188776,13
