path,freq_hz,amp_v,amp_tag,wind,run_category,file_date,mooring,A_IN_wall,phi_IN_wall,sigma_pre_IN_wall,A_FFT_meta_IN_wall,A_IN_far,phi_IN_far,sigma_pre_IN_far,A_FFT_meta_IN_far,A_OUT,phi_OUT,sigma_pre_OUT,A_FFT_meta_OUT,A_IN_mean,sigma_pre_IN_mean,dphi_OUT_minus_IN_wall,T_wall,T_far,T_mean
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.2,A2,full,standard,2026-03-26,below_90_loose230,14.136865128133868,-2.8600946765980977,2.6496237660220032,14.12413934331724,15.636376973515597,2.978252311299599,4.468655953863632,15.617292923912288,11.733933170384967,2.931710640373386,0.3371321908505597,11.733659728601246,14.886621050824733,3.5591398599428175,-0.4913799902081024,0.8300237049749587,0.7504253184903085,0.7882200487487317
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.2,A2,full,standard,2026-03-26,below_90_loose230,14.922296668501707,-3.1074720780763734,3.7159866589012642,14.91140881301264,14.500812034820337,3.0953782749253644,4.1999349727095625,14.469714582908795,12.952984260721095,3.05437467705179,0.35455366451862813,12.954381445987874,14.711554351661022,3.9579608158054134,-0.12133855205142297,0.8680288663649559,0.8932592346978575,0.8804633386178278
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.1,A1,full,standard,2026-03-26,below_90_loose230,7.36793195176225,-2.9544085200968446,3.4324423918914886,7.343215604071939,7.2522792346885225,2.8027319652659126,4.205001762868023,7.244719864436916,5.924564379012312,-2.990398602799627,0.3767853873578315,5.925697933486414,7.310105593225386,3.818722077379756,-0.03599008270278237,0.8041013974885157,0.8169244712302871,0.8104622161002545
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.1,A1,full,standard,2026-03-26,below_90_loose230,7.555140668652038,2.2001518691928386,4.204328820573942,7.557855982680836,7.062753831253228,-3.1214082604123536,4.195644845652456,7.074693898449415,5.9251409969289695,-2.7245247937707995,0.21462705630402076,5.9340441432201105,7.308947249952633,4.199986833113199,1.3585086442159486,0.7842529023335991,0.8389278656024745,0.8106695525771332
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.2,A2,full,standard,2026-03-26,below_90_loose230,14.684267206607782,2.976642334705312,3.892117807002635,14.61592460524259,15.394105201996306,2.7864769745926523,4.244531742452113,15.400502377637405,12.35014558456739,3.022485990904519,0.37400415501191564,12.33703652156908,15.039186204302045,4.068324774727374,0.04584365619920705,0.8410460944901589,0.8022645956041553,0.8211977308343027
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run1.csv,1.3,0.1,A1,full,standard,2026-03-26,below_90_loose230,7.41341303323612,2.987986819144963,3.71389592070582,7.413087013929894,7.480839334416438,3.0245774491411237,4.29528637755578,7.485568325974241,6.140860873458276,-3.099519064140124,0.383077367531558,6.141162749494474,7.4471261838262794,4.0045911491308,0.1956794238945001,0.8283446296499757,0.8208785938238987,0.8245947123596536
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.1,A1,no,standard,2026-03-26,below_90_loose230,7.736989503299463,-2.983848052876028,0.032114570157134724,7.7370299417730335,7.684953356178065,-3.0345846080070173,0.031526831064845995,7.683144551359978,5.152971035919638,-3.1247929791022377,0.03330479597298372,5.148076510946907,7.710971429738764,0.03182070061099036,-0.1409449262262097,0.6660175813502316,0.670527301480246,0.6682648331501096
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.1,A1,full,standard,2026-03-26,below_90_loose230,7.118383909647489,2.806675265538647,4.584615177306327,7.092480036260698,8.271278927371212,-2.969147147263679,3.862589205742522,8.160776939186201,5.821763961747634,-2.934410002194527,0.3822699747565271,5.828111304783676,7.6948314185093505,4.223602191524424,0.5421000394464119,0.8178491123325681,0.7038529365129166,0.7565810925686831
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,1.3,0.1,A1,no,standard,2026-03-26,below_90_loose230,7.78960138023619,-3.0515833256178437,0.0,7.782947643996488,7.822678557887497,-3.1261150284434054,0.04553854962071133,7.806408287630807,4.861365799205123,3.0986026100631308,0.0,4.861466757714899,7.806139969061844,0.022769274810355664,-0.1329993714986113,0.6240840271415429,0.6214451690979269,0.6227618026927809
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,1.3,0.1,A1,full,standard,2026-03-26,below_90_loose230,7.324872031674166,2.7353212157745808,3.989906942821104,7.32433657097283,7.739775809344627,2.6110992795124894,3.672551851009507,7.736914411590917,6.043296849623259,-3.0421090775334023,0.2952156268063006,6.043481040320674,7.532323920509397,3.8312293969153055,0.5057550138716032,0.8250378741759409,0.7808103229975831,0.8023150508926283
