tag,n,n_final_cond4,n_earlier_hw,n_065hz,freq_min,freq_max,n_extreme_clipped,n_drop_2hz
v1_full_reverse,401,102,299,19,0.5,1.9,0,1
v2_full_reverse_no_canon,299,0,299,19,0.5,1.9,0,1
