freq_hz,amp_v,wind,path,A_in_mm,A_out_mm,Kt
1.3,0.1,full,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,7.629314816928965,5.716337169582248,0.7492595739918949
1.6,0.3,full,fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run1.csv,23.081452809618114,15.840086268480276,0.686269031639103
1.5,0.1,no,fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,7.764185701754459,3.4225546279489194,0.4408130819405222
1.4,0.2,full,fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,15.557030584722371,11.5801898881676,0.744370194884094
1.3,0.1,no,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,7.889538490150747,4.841463530255523,0.6136561138905118
1.4,0.1,no,fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,7.955756864885217,4.234875143659102,0.5323032384700964
1.6,0.3,full,fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,22.471159708927612,16.270683626877297,0.7240696002179667
1.6,0.3,full,fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,21.643622828390633,15.696261118980567,0.7252141308982376
1.4,0.3,full,fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run2.csv,23.06177856993143,17.784671101063886,0.7711751739847169
1.6,0.1,no,fullpanel-nowind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,7.152605092652096,2.594616272158948,0.3627512267976893
1.6,0.3,no,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run4.csv,20.95038881312691,11.01097808198603,0.5255739251524949
1.4,0.3,no,fullpanel-nowind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,22.411553028096787,14.943564101898739,0.6667794990897943
1.3,0.1,no,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,7.455028307122594,4.942563459585104,0.6629838621622589
1.5,0.2,no,fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,14.957501940095362,8.769312387923046,0.5862818820311072
1.5,0.1,full,fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,7.986783344674809,5.671737282690338,0.710140370399802
1.4,0.3,full,fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,23.324154092830003,18.12711223939347,0.7771819791297753
1.3,0.1,no,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop330-run3.csv,7.520656116917696,4.96424114121945,0.6600808578459535
1.4,0.2,no,fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,15.359796461751802,10.578827528809631,0.6887348771289059
1.5,0.2,full,fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,16.062265891125012,11.346914570502683,0.7064329931664416
1.6,0.1,full,fullpanel-fullwind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,8.294661411483789,4.927288626243686,0.5940313150603056
1.3,0.1,no,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,7.4965937593012,4.96410100201842,0.6621808732611852
1.3,0.2,full,fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,14.729360381305543,12.394510254115977,0.8414832642595295
1.5,0.3,no,fullpanel-nowind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,21.404904009666044,13.071968499592945,0.6106997019790369
1.3,0.1,no,fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run2-rettetterpå.csv,7.310288667310913,5.17596138622338,0.7080378931366271
