path,amp_v,amp_tag,wind,file_date,IN_A_LS,IN_A_PSDraw,IN_df_run,IN_N_run,IN_A_wind_at_fp,IN_A_clean,IN_sigma_pre,OUT_A_LS,OUT_A_PSDraw,OUT_A_wind_at_fp,OUT_A_clean,OUT_sigma_pre,OUT_df_run,OUT_N_run,G_raw,G_PSDraw,G_clean
/Users/ole/Kodevik/wave_project/wavedata/20251110-tett6roof-lowM-ekte580/nopanel-fullwind-amp0100-freq1300-per15-depth580-mstop30-run1.csv,0.1,A1,full,2025-11-10,0.31980773014647224,0.3303796461019995,0.13020833333333334,1920,0.21664232149285773,0.24943298718627355,3.2156727475882354,,,,,,,,,,
/Users/ole/Kodevik/wave_project/wavedata/20251110-tett6roof-lowM-ekte580/nopanel-fullwind-amp0300-freq1300-per15-depth580-mstop30-run1.csv,0.3,A3,full,2025-11-10,0.19997704310422737,0.20699279858462594,0.13020833333333334,1920,0.2902474243553577,0.0,4.885095038247499,,,,,,,,,,
/Users/ole/Kodevik/wave_project/wavedata/20251110-tett6roof-lowM-ekte580/nopanel-fullwind-amp0200-freq1300-per15-depth580-mstop30-run1.csv,0.2,A2,full,2025-11-10,0.41931556419203175,0.4271114545235566,0.13020833333333334,1920,0.16731539167731366,0.39297551360497673,4.370876929636872,,,,,,,,,,
/Users/ole/Kodevik/wave_project/wavedata/20251112-tett6roof/nopanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,0.3,A3,no,2025-11-12,22.37245149617793,22.36662482973686,0.12993762993762994,1924,0.01756841850399618,22.366617929961443,0.16609144134838125,21.789716230108315,21.6366777053337,0.013822113510495329,21.636673290357333,0.042404952226090045,0.12933264355923435,1933.0,0.9739529990189422,0.9673644490413823,0.9673645500678802
/Users/ole/Kodevik/wave_project/wavedata/20251112-tett6roof/nopanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,0.1,A1,full,2025-11-12,8.032054666522608,8.036155674658355,0.13020833333333334,1920,0.43365142631098075,8.024446676737416,3.2529440706590353,8.146258493607439,8.13754051151404,0.22793790882485182,8.134347539062535,5.63342938739387,0.13020833333333334,1920.0,1.0142185071972716,1.0126160867161145,1.01369575582622
/Users/ole/Kodevik/wave_project/wavedata/20251112-tett6roof/nopanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,0.3,A3,full,2025-11-12,23.396888689178915,23.254070145036366,0.13089005235602094,1910,0.29739880854860895,23.25216833456496,3.388087983939597,22.64682039947801,22.68277627505446,0.43367008522432604,22.67863024526294,6.068174932681009,0.12960082944530846,1929.0,0.9679415370280489,0.9754325214287767,0.9753339954773405
/Users/ole/Kodevik/wave_project/wavedata/20251112-tett6roof/nopanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run1.csv,0.1,A1,no,2025-11-12,7.607333285178055,7.614243918139726,0.13048016701461376,1916,0.018457237246913102,7.614221547559608,0.151094605152784,7.446364307885689,7.432690182453365,0.018039651877677417,7.432668290681266,0.11107014747042471,0.12980269989615784,1926.0,0.9788402885402703,0.9761560389136158,0.9761560317434511
/Users/ole/Kodevik/wave_project/wavedata/20251112-tett6roof/nopanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,0.2,A2,no,2025-11-12,15.133255051408042,15.12341650073811,0.12987012987012986,1925,0.02048391552746512,15.123402628509313,0.11535859148063042,14.889405943744682,14.895030305444074,0.006334763084560926,14.895028958376484,0.038099245005117105,0.1301405517959396,1921.0,0.9838865394896869,0.9848985052231493,0.9848993195683147
/Users/ole/Kodevik/wave_project/wavedata/20251112-tett6roof/nopanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,0.2,A2,full,2025-11-12,15.883705718041757,15.872024842153165,0.13020833333333334,1920,0.11341255706414476,15.871619645827812,3.374334892257886,16.247939210191124,16.238022491440486,0.1309320639822387,16.237494610534853,4.683651410598739,0.12853470437017994,1945.0,1.022931266709106,1.0230592916106898,1.0230521504970174
/Users/ole/Kodevik/wave_project/wavedata/20251113-tett6roof-loosepaneltaped/nopanel-nowind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,0.3,A3,no,2025-11-13,22.108597156961203,22.101759972054023,0.12987012987012986,1925,0.04951400880536333,22.101704509499296,0.2808815434974781,21.757955905906968,21.721033453798693,0.0011299983321417634,21.72103342440561,0.025475640869352077,0.12966804979253113,1928.0,0.9841400497478497,0.9827739275633828,0.9827763924302728
