freq,amp,wind,probe,win_len,expected_len,end_shift_samples,end_shift_T
1.3,0.1,no,8804/250,1924,1920,4,0.020833333333333332
1.3,0.1,no,9373/170,1922,1920,2,0.010416666666666666
1.3,0.1,no,9373/340,1921,1920,1,0.005208333333333333
1.3,0.1,no,12400/250,1920,1920,0,0.0
1.3,0.1,no,8804/250,1922,1920,2,0.010416666666666666
1.3,0.1,full,9373/170,1920,1920,0,0.0
1.3,0.1,full,9373/340,1920,1920,0,0.0
1.3,0.1,full,12400/250,1918,1920,-2,-0.010416666666666666
1.3,0.1,full,8804/250,1920,1920,0,0.0
1.3,0.2,full,9373/170,1927,1920,7,0.036458333333333336
1.3,0.2,full,9373/340,1917,1920,-3,-0.015625
1.3,0.2,full,12400/250,1924,1920,4,0.020833333333333332
1.3,0.2,full,8804/250,1918,1920,-2,-0.010416666666666666
1.3,0.1,no,9373/170,1922,1920,2,0.010416666666666666
1.3,0.1,no,9373/340,1921,1920,1,0.005208333333333333
1.3,0.1,no,12400/250,1919,1920,-1,-0.005208333333333333
1.3,0.1,no,8804/250,1923,1920,3,0.015625
1.7,0.3,full,9373/170,1470,1470,0,0.0
1.7,0.3,full,9373/340,1487,1470,17,0.11564625850340136
1.7,0.3,full,12400/250,1485,1470,15,0.10204081632653061
1.7,0.3,full,8804/250,1490,1470,20,0.1360544217687075
1.5,0.3,no,9373/170,1670,1670,0,0.0
1.5,0.3,no,9373/340,1666,1670,-4,-0.023952095808383235
1.5,0.3,no,12400/250,1666,1670,-4,-0.023952095808383235
1.5,0.3,no,8804/250,1665,1670,-5,-0.029940119760479042
1.5,0.3,full,9373/170,1670,1670,0,0.0
1.5,0.3,full,9373/340,1670,1670,0,0.0
1.5,0.3,full,12400/250,1667,1670,-3,-0.017964071856287425
1.5,0.3,full,8804/250,1670,1670,0,0.0
1.6,0.3,full,9373/170,1560,1560,0,0.0
1.6,0.3,full,9373/340,1571,1560,11,0.07051282051282051
1.6,0.3,full,12400/250,1574,1560,14,0.08974358974358974
1.6,0.3,full,8804/250,1566,1560,6,0.038461538461538464
1.6,0.3,no,9373/170,1559,1560,-1,-0.00641025641025641
1.6,0.3,no,9373/340,1558,1560,-2,-0.01282051282051282
1.6,0.3,no,12400/250,1566,1560,6,0.038461538461538464
1.6,0.3,no,8804/250,1561,1560,1,0.00641025641025641
1.4,0.3,no,9373/170,1790,1790,0,0.0
1.4,0.3,no,9373/340,1784,1790,-6,-0.0335195530726257
1.4,0.3,no,12400/250,1783,1790,-7,-0.03910614525139665
1.4,0.3,no,8804/250,1783,1790,-7,-0.03910614525139665
1.4,0.3,full,9373/170,1790,1790,0,0.0
1.4,0.3,full,9373/340,1788,1790,-2,-0.0111731843575419
1.4,0.3,full,12400/250,1787,1790,-3,-0.01675977653631285
1.4,0.3,full,8804/250,1789,1790,-1,-0.00558659217877095
1.3,0.3,full,9373/170,1921,1920,1,0.005208333333333333
1.3,0.3,full,9373/340,1920,1920,0,0.0
1.3,0.3,full,12400/250,1925,1920,5,0.026041666666666668
1.3,0.3,full,8804/250,1917,1920,-3,-0.015625
1.3,0.3,full,9373/170,1928,1920,8,0.041666666666666664
1.3,0.3,full,9373/340,1924,1920,4,0.020833333333333332
1.3,0.3,full,12400/250,1919,1920,-1,-0.005208333333333333
1.3,0.3,full,8804/250,1920,1920,0,0.0
1.3,0.3,no,9373/170,1917,1920,-3,-0.015625
1.3,0.3,no,9373/340,1918,1920,-2,-0.010416666666666666
1.3,0.3,no,12400/250,1919,1920,-1,-0.005208333333333333
1.3,0.3,no,8804/250,1923,1920,3,0.015625
1.3,0.1,no,9373/170,1922,1920,2,0.010416666666666666
1.3,0.1,no,9373/340,1923,1920,3,0.015625
1.3,0.1,no,12400/250,1920,1920,0,0.0
1.3,0.1,no,8804/250,1922,1920,2,0.010416666666666666
1.7,0.3,no,9373/170,1459,1470,-11,-0.07482993197278912
1.7,0.3,no,9373/340,1479,1470,9,0.061224489795918366
1.7,0.3,no,12400/250,1474,1470,4,0.027210884353741496
1.7,0.3,no,8804/250,1470,1470,0,0.0
1.3,0.2,no,9373/170,1924,1920,4,0.020833333333333332
