panel,moor_grp,wind,n,mean_kt,std_kt
full,canon,no,33,0.7035040863804429,0.07456935050385709
full,canon,full,26,0.8028488796361594,0.046910432949934
full,above_50,no,13,0.6608993197314192,0.05820318579256411
full,above_50,full,9,0.6818582319796656,0.049999973023085155
reverse,above_50,no,17,0.6649931723573731,0.06086835160369665
reverse,above_50,full,6,0.691764421331642,0.019794666194273957
