category,WindCondition,n,kt_fft_mean,kt_ls_mean,kt_fft_std,kt_ls_std
above_50_full,full,75,0.725988013537681,0.7239599511981812,0.20058430236542146,0.1982845351820121
above_50_full,no,68,0.6824880680678973,0.6799315048315966,0.24615879410813274,0.24542627077016596
above_50_reverse,full,13,0.8327967424830022,0.8323184896103109,0.13669489699924023,0.1373450826543782
above_50_reverse,no,29,0.7890191729940805,0.7893942277975875,0.15720201654775487,0.1576258053342115
below_loose230_full,full,71,0.756407897970714,0.7527889359582882,0.11416865145771891,0.11508579705338814
below_loose230_full,no,73,0.6104166702189452,0.6099410004817484,0.17003010496712923,0.169987743992708
below_loose300_full,full,39,0.7517516279407983,0.7511019685134049,0.09995893530934108,0.10052200977679747
below_loose300_full,no,31,0.6018321489458164,0.6014904084020043,0.12993816133192734,0.1295021895098571
