category,category_label,amp,amp_volt,wind,wind_label,n,n_freqs,Kt_mean,Kt_std,ka_min,ka_max,slope_dKt_dka,R2_ka,k_min,k_max,slope_dKt_dk,R2_k,kL_min,kL_max,slope_dKt_dkL
below_loose300_full,"Under, loose300, full panel",A1,0.1,no,uten,13,4,0.5612581936830684,0.12490024873059974,0.04974328042427344,0.0739255249406703,-12.778911732441054,0.9842501010333471,6.816041322354304,10.365479147152154,-0.08703432674657996,0.9214965676155409,17.721707438121193,26.9502457825956,-0.2262892495411079
below_loose300_full,"Under, loose300, full panel",A1,0.1,full,full,13,5,0.6874829465965058,0.08247374072517798,0.050504516452524566,0.09686165650785963,-4.713166230629164,0.8850407030934425,6.823098540210276,11.62772998014707,-0.04546528440472725,0.859270676751142,17.74005620454672,30.232097948382382,-0.11820973945229087
below_loose300_full,"Under, loose300, full panel",A2,0.2,no,uten,9,5,0.6186019714355758,0.14256318634130835,0.09961648641024114,0.15369508032320195,-6.6911689741355564,0.9754944922616592,6.759992458764964,11.723428065104322,-0.0835540012160502,0.9799815590380457,17.575980392788907,30.480912969271238,-0.21724040316173052
below_loose300_full,"Under, loose300, full panel",A2,0.2,full,full,13,9,0.8136454930770941,0.11384109882114683,0.032695761787163734,0.158260381809266,-2.594512033930198,0.9538036334576505,2.793509910317276,10.305948032979583,-0.04348060031824442,0.9241493233976116,7.263125766824918,26.795464885746917,-0.11304956082743549
below_loose300_full,"Under, loose300, full panel",A3,0.3,no,uten,9,4,0.6436691507244708,0.12095327597086113,0.14610923829469358,0.2169584394798899,-4.352014407069025,0.9932939481999481,6.798448873358653,10.325694320524587,-0.08251598065588217,0.9551856689743081,17.6759670707325,26.846805233363927,-0.21454154970529365
below_loose300_full,"Under, loose300, full panel",A3,0.3,full,full,13,5,0.7541264441487949,0.05699196589004883,0.1464212411447636,0.26930726974500135,-1.478499041142469,0.9477047987936725,6.74262825693827,11.355973636684901,-0.03593969081205289,0.9013482893808313,17.5308334680395,29.525531455380744,-0.09344319611133751
below_loose230_full,"Under, loose230, full panel",A1,0.1,no,uten,34,5,0.5241648087574181,0.14883340394984776,0.049011323725738104,0.08123601516575263,-13.319803478443989,0.9449983084356809,6.77742861642488,11.604057185180796,-0.0839815575519483,0.9552762684248433,17.621314402704687,30.17054868147007,-0.2183520496350656
below_loose230_full,"Under, loose230, full panel",A1,0.1,full,full,29,12,0.7720441392153808,0.12763810858472405,0.008218167374954868,0.09733996253475985,-4.952529323499943,0.835313042753848,1.8362848685947566,11.764470323658308,-0.042592882477295826,0.7580502122137618,4.774340658346367,30.587622841511603,-0.11074149444096915
below_loose230_full,"Under, loose230, full panel",A2,0.2,no,uten,25,10,0.7124493196951833,0.15754906719183184,0.03309527965522212,0.15879423136379792,-4.553598049915172,0.892012806848433,2.7892344137886598,11.580512605536716,-0.06738042516149488,0.9380073428759667,7.252009475850516,30.109332774395465,-0.1751891054198867
below_loose230_full,"Under, loose230, full panel",A2,0.2,full,full,30,10,0.7569862357122106,0.1147040171149539,0.032986199592490925,0.18843332336467286,-2.6847768991281358,0.9421103878774816,2.7935099103172765,11.432616517405574,-0.045840724670921054,0.9090371547826286,7.263125766824919,29.724802945254492,-0.11918588414439474
below_loose230_full,"Under, loose230, full panel",A3,0.3,no,uten,14,6,0.6376843168465144,0.1333605562317248,0.08573006514034294,0.2396300675290195,-3.4854729502448545,0.9517639882441961,4.080770091491728,11.580848493054035,-0.06940106062717749,0.9536446211179068,10.610002237878494,30.11020608194049,-0.18044275763066148
below_loose230_full,"Under, loose230, full panel",A3,0.3,full,full,12,6,0.7171744706090267,0.06682899406793064,0.15404411660283174,0.31815277442743956,-1.3303141240481298,0.9723834097633977,6.766954713489528,12.828422274213807,-0.03549952491572422,0.973386041901628,17.594082255072774,33.3538979129559,-0.09229876478088299
