path,name,freq_hz,amp_V,wind,mooring,N_in,N_out,A_in_nearest,A_in_parabolic,A_out_nearest,A_out_parabolic,f_in_peak,f_out_peak,outin_nearest,outin_parabolic,delta_outin
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,1.3000,0.1000,full,below_90_loose300,4517,3271,4.5016,5.0809,5.8051,5.8052,1.3050,1.2991,1.2896,1.1426,-0.1470
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,fullpanel-nowind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,1.6000,0.1000,no,below_90_loose300,2499,2652,6.9908,6.9908,2.6879,2.6882,1.6005,1.6015,0.3845,0.3845,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,1.3000,0.2000,no,below_90_loose300,4422,3270,14.9002,14.9002,11.8497,11.8501,1.3004,1.3002,0.7953,0.7953,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,1.3000,0.3000,full,below_90_loose300,4442,3278,21.9134,21.9135,18.6016,18.6019,1.2945,1.2968,0.8489,0.8489,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,1.5000,0.3000,full,below_90_loose300,3015,2682,23.3806,23.3810,16.7814,16.7823,1.4929,1.4921,0.7178,0.7178,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,1.6000,0.1000,full,below_90_loose300,2508,2509,9.3095,9.3095,5.1049,5.1050,1.5950,1.5946,0.5484,0.5484,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,fullpanel-nowind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,1.3000,0.3000,no,below_90_loose300,4618,3271,21.4053,21.4053,17.8155,17.8158,1.2992,1.2996,0.8323,0.8323,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1100-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1100-per40-depth580-mstop30-run1.csv,1.1000,0.2000,full,below_90_loose300,5227,5234,14.1448,14.1450,13.2523,13.2524,1.1002,1.0987,0.9369,0.9369,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,1.3000,0.3000,full,below_90_loose300,4438,3275,22.0253,22.0258,18.5808,18.5809,1.2959,1.2978,0.8436,0.8436,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,fullpanel-nowind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,1.4000,0.3000,no,below_90_loose300,3752,3037,22.0929,22.0929,15.3816,15.3816,1.3994,1.3995,0.6962,0.6962,-0.0000
