path,mooring_short,date,WindCondition,amp_v,freq,Kt,var_wind_9373/170,var_swell_9373/170,sigma_wind_9373/170,sigma_swell_9373/170,var_wind_12400/250,var_swell_12400/250,sigma_wind_12400/250,sigma_swell_12400/250
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,loose230,2026-03-26,full,0.3,1.3,0.81882531324393,9.77114032203358,0.15864968776734725,3.125882326965233,0.3983085333850472,0.007632640749708157,0.01047605684743624,0.08736498583361733,0.10235261035965931
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,loose230,2026-03-26,full,0.3,1.5,0.7272698823674372,2.6074683443654254,0.1056643279705467,1.6147657242973128,0.3250604989391155,0.004225161435512243,0.007491237436496087,0.06500124179977058,0.08655193490902492
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,loose230,2026-03-26,full,0.1,1.6,0.6466717102702577,2.4562093768862328,0.04810308278697455,1.5672298417546269,0.21932415003135097,0.004669680343706274,0.04817285301801871,0.06833505940369317,0.219483149735962
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,loose230,2026-03-26,full,0.2,1.6,0.686621416716908,7.790628127448225,0.059618909399025394,2.791169670129035,0.24416983720153765,0.007938577687327374,0.021942420707873046,0.08909869632787774,0.14812974281984373
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop30-run2.csv,loose230,2026-03-26,full,0.1,1.3,0.8805832794778503,4.4702920718666626,0.019392224561438534,2.114306522684604,0.13925596777674748,0.007316345576091056,0.022658568672791226,0.08553563921600783,0.1505276342496328
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,loose230,2026-03-26,full,0.3,1.4,0.757020880098691,32.907309133759206,0.29027788874561145,5.736489269035479,0.5387744321565486,0.004295342311400975,0.11764597937025503,0.06553886107799689,0.34299559672137925
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,loose300,2026-03-27,full,0.1,1.5,0.6163962129693796,3.9039387924068594,0.033022613767524384,1.9758387566820474,0.1817212529329588,0.002631641677328292,0.021759419434803046,0.05129952901663223,0.14751074345552953
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,loose300,2026-03-27,no,0.2,1.3,0.8161605510375268,4.536255229176357e-06,4.616768903486272e-06,0.0021298486399686616,0.0021486667734868224,6.911596490315603e-07,2.5508060829329247e-06,0.0008313601199429524,0.0015971243166807412
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,loose300,2026-03-27,full,0.2,1.6,0.7114927874652502,20.212441895300646,0.06586497839473612,4.49582494046428,0.25664173159238174,0.0017545226425627488,0.0037215954126116244,0.04188702236448359,0.06100488023602394
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,loose300,2026-03-27,no,0.1,1.4,0.47805207614855466,0.0008801536072543023,0.0008587708579820006,0.02966738288515356,0.029304792406396614,0.0004722979742706892,0.016188837343851546,0.021732417589184348,0.12723536200228122
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,loose300,2026-03-27,full,0.2,1.5,0.7064801595525766,17.135024776703816,0.17320661802948983,4.1394473999199235,0.41618099191276126,0.001920689121634512,0.0010843989376151907,0.04382566738378906,0.03293021314257153
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,loose300,2026-03-27,no,0.2,1.6,0.4859126551658161,5.474820357445188e-05,5.9455306779829566e-05,0.007399202901289563,0.00771072673486939,5.737996260018059e-06,4.322868176191556e-06,0.0023954115011868126,0.0020791508305535596
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,loose300,2026-03-27,no,0.1,1.5,0.46412861984782555,6.673269354204257e-05,0.00010326746512668406,0.008169008112497047,0.010162060082812148,9.411154355357077e-06,9.27056205807785e-06,0.003067760478811388,0.0030447597701752844
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run2.csv,loose300,2026-03-27,full,0.3,1.5,0.7131171110495463,9.686170773100644,0.015422567961740494,3.1122613600243545,0.12418763208041489,0.0037726464891293604,0.03588592354398847,0.061421873051294686,0.18943580322628686
