freq_hz,amp_V,wind,probe,n,median,mean,std,p05,p95
1.5000,0.2000,full,9373/170,3,0.3114,0.3174,0.0333,0.2898,0.3491
1.5000,0.2000,full,9373/340,3,0.3413,0.3214,0.0399,0.2820,0.3467
1.5000,0.2000,full,12400/250,3,-0.0838,-0.0918,0.0192,-0.1108,-0.0784
1.5000,0.2000,full,8804/250,3,0.1437,0.1457,0.0035,0.1437,0.1491
1.5000,0.3000,no,9373/170,2,0.3443,0.3443,0.0381,0.3201,0.3686
1.5000,0.3000,no,9373/340,2,0.3204,0.3204,0.0296,0.3015,0.3392
1.5000,0.3000,no,12400/250,2,-0.0269,-0.0269,0.0466,-0.0566,0.0027
1.5000,0.3000,no,8804/250,2,0.1527,0.1527,0.0296,0.1338,0.1716
1.5000,0.3000,full,9373/170,4,0.1617,0.1587,0.0266,0.1293,0.1838
1.5000,0.3000,full,9373/340,4,0.1587,0.1647,0.0326,0.1377,0.2000
1.5000,0.3000,full,12400/250,4,-0.2844,-0.2889,0.0215,-0.3138,-0.2704
1.5000,0.3000,full,8804/250,4,0.0180,0.0180,0.0147,0.0027,0.0332
1.6000,0.1000,no,9373/170,2,-0.0673,-0.0673,0.0227,-0.0817,-0.0529
1.6000,0.1000,no,9373/340,2,-0.0737,-0.0737,0.0136,-0.0824,-0.0651
1.6000,0.1000,no,12400/250,2,0.0256,0.0256,0.0181,0.0141,0.0372
1.6000,0.1000,no,8804/250,2,-0.1827,-0.1827,0.0136,-0.1913,-0.1740
1.6000,0.1000,full,9373/170,3,-0.3526,-0.3269,0.0678,-0.3756,-0.2603
1.6000,0.1000,full,9373/340,3,-0.4231,-0.4209,0.0225,-0.4404,-0.4000
1.6000,0.1000,full,12400/250,3,-0.2500,-0.2607,0.0807,-0.3365,-0.1923
1.6000,0.1000,full,8804/250,3,-0.3526,-0.3440,0.0267,-0.3641,-0.3179
1.6000,0.2000,no,9373/170,2,-0.2885,-0.2885,0.0272,-0.3058,-0.2712
1.6000,0.2000,no,9373/340,2,-0.2949,-0.2949,0.0181,-0.3064,-0.2833
1.6000,0.2000,no,12400/250,2,-0.1987,-0.1987,0.0091,-0.2045,-0.1929
1.6000,0.2000,no,8804/250,2,-0.3686,-0.3686,0.0227,-0.3830,-0.3542
1.6000,0.2000,full,9373/170,3,0.4551,0.4573,0.0098,0.4494,0.4667
1.6000,0.2000,full,9373/340,3,0.4231,0.4188,0.0133,0.4058,0.4288
