path,run_type,N_input_periods,freq_hz,amp_V,wind,A_in_mm,A_out_mm,OUT_IN
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,per240,240.0,1.4,0.1,no,7.792529595684454,4.204399478160716,0.5395423176177779
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,per240,240.0,1.5,0.2,full,15.483309839934117,10.88068802265259,0.7027365682878364
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,per40,40.0,1.6,0.2,no,14.655697336744046,7.078923976906988,0.4830151588323987
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,per40,40.0,1.5,0.1,no,7.460504087719865,3.759102754963026,0.5038671262375665
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run2.csv,per40,40.0,1.5,0.3,full,23.937158594217237,17.74843862569125,0.7414597081701642
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,per240,240.0,1.3,0.2,full,14.916620766576614,12.33662141086146,0.8270386171178857
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,per40,40.0,1.4,0.2,no,15.189143905569402,10.498740431624855,0.6912002741494392
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,per40,40.0,1.5,0.3,no,21.111213663647675,13.2031850169271,0.6254109890262843
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,per40,40.0,1.4,0.2,full,16.73857918168821,11.503213995362886,0.6872276237129645
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,per240,240.0,1.4,0.1,full,8.165787503488662,5.49650407378372,0.6731137776283614
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,per240,240.0,1.5,0.2,no,15.31508087972065,9.018110314674853,0.5888385693487337
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,per40,40.0,1.5,0.3,full,23.775372235236276,17.41750854628101,0.7325861557055835
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,per40,40.0,1.4,0.1,full,8.081101583449417,5.902325780888599,0.7303862870597887
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run2.csv,per40,40.0,1.3,0.1,full,7.667335284309775,5.843397147589473,0.7621157717658754
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,per40,40.0,1.6,0.3,no,21.143596741271015,10.92955911664337,0.5169205244682678
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,per240,240.0,1.3,0.1,full,7.538792785121934,5.712432421246562,0.7577383520237143
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run1.csv,per40,40.0,1.6,0.3,full,22.961667294810063,15.804692548381658,0.6883077062942172
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,per240,240.0,1.5,0.1,no,7.865923613041475,3.5415790425285283,0.4502432539081224
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,per240,240.0,1.4,0.2,full,15.740052497990707,11.695962459486863,0.7430701048157182
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,per240,240.0,1.3,0.1,no,7.24680561432926,5.021922427393441,0.692984287789297
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,per40,40.0,1.4,0.1,no,7.9957148897384185,4.60530576668809,0.5759717336342834
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,per40,40.0,1.6,0.3,full,22.376714946687148,16.288495599055462,0.7279216649031389
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,per240,240.0,1.6,0.3,full,22.315921477513562,15.694446310038693,0.703284707550753
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run2.csv,per40,40.0,1.4,0.3,full,24.00137175726244,18.580724848237686,0.7741526207815789
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,per40,40.0,1.6,0.1,no,7.109508596305721,2.7478298390301252,0.38650067044830166
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run4.csv,per40,40.0,1.6,0.3,no,21.07613516383409,10.995634906697557,0.521710210208069
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,per240,240.0,1.3,0.1,no,7.398628956844561,5.249554145359162,0.70953066790878
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,per40,40.0,1.5,0.2,no,15.061571371038095,8.939981845829768,0.5935623598358711
