f_target,wind,probe,N,df_Hz,bin10_Hz,offset_bins,sinc_atten_pct
1.3,no,9373/170,1923,0.1300048828125,1.300048828125,-0.0003755868544597523,2.320434061564569e-05
1.3,no,9373/340,1923,0.1300048828125,1.300048828125,-0.0003755868544597523,2.320434061564569e-05
1.3,no,12400/250,1926,0.12979888916015625,1.2979888916015625,0.015494033974020209,0.03948444637194015
1.3,no,9373/170,1923,0.1300048828125,1.300048828125,-0.0003755868544597523,2.320434061564569e-05
1.3,no,9373/340,1922,0.13007354736328125,1.3007354736328125,-0.005654290574226886,0.005258936046070861
1.3,no,12400/250,1921,0.1301422119140625,1.301422119140625,-0.010927424082541574,0.019640769537687675
1.3,full,9373/170,1931,0.12946319580078125,1.2946319580078125,0.04146384583652577,0.2825655338657418
1.3,full,9373/340,1925,0.12987518310546875,1.2987518310546875,0.00961052693414826,0.015192285060150468
1.3,full,12400/250,1924,0.12993621826171875,1.2993621826171875,0.004908695907463204,0.003963470115697643
1.3,full,9373/170,1920,0.13021087646484375,1.3021087646484375,-0.016194996191480293,0.04313740193179205
1.3,full,9373/340,1933,0.12933349609375,1.2933349609375,0.051533742331288684,0.43627736009917983
1.3,full,12400/250,1926,0.12979888916015625,1.2979888916015625,0.015494033974020209,0.03948444637194015
1.3,full,9373/170,1923,0.1300048828125,1.300048828125,-0.0003755868544597523,2.320434061564569e-05
1.3,full,9373/340,1926,0.12979888916015625,1.2979888916015625,0.015494033974020209,0.03948444637194015
1.3,full,12400/250,1920,0.13021087646484375,1.3021087646484375,-0.016194996191480293,0.04313740193179205
1.4,no,9373/170,1786,0.13997650146484375,1.3997650146484375,0.0016787485692477439,0.00046357414084097215
1.4,no,9373/340,1786,0.13997650146484375,1.3997650146484375,0.0016787485692477439,0.00046357414084097215
1.4,no,12400/250,1785,0.14005279541015625,1.4005279541015625,-0.003769679141472552,0.0023375140102088743
1.4,no,9373/170,1787,0.13990020751953125,1.3990020751953125,0.007133118830778664,0.00836944208205681
1.4,no,9373/340,1788,0.13982391357421875,1.3982391357421875,0.012593441370654683,0.02608575162592608
1.4,no,12400/250,1788,0.13982391357421875,1.3982391357421875,0.012593441370654683,0.02608575162592608
1.4,full,9373/170,1798,0.13904571533203125,1.3904571533203125,0.06863100137174147,0.7730002552044146
1.4,full,9373/340,1795,0.13927459716796875,1.3927459716796875,0.05208436044919137,0.4456375279655922
1.4,full,12400/250,1789,0.13974761962890625,1.3974761962890625,0.01805972593765291,0.05364149902234994
1.4,full,9373/170,1790,0.1396636962890625,1.396636962890625,0.02407953676390191,0.0953499532321267
1.4,full,9373/340,1791,0.13958740234375,1.3958740234375,0.029558373414953452,0.14365551673111154
1.4,full,12400/250,1799,0.13896942138671875,1.3896942138671875,0.0741586604446878,0.9021807179983243
1.4,full,9373/170,1782,0.140289306640625,1.40289306640625,-0.02062214487709439,0.06993990193877586
1.4,full,9373/340,1791,0.13958740234375,1.3958740234375,0.029558373414953452,0.14365551673111154
1.4,full,12400/250,1783,0.1402130126953125,1.402130126953125,-0.015192077483948832,0.037960625897082156
1.5,no,9373/170,1666,0.15006256103515625,1.5006256103515625,-0.004168996898673039,0.0028589589141092553
1.5,no,9373/340,1666,0.15006256103515625,1.5006256103515625,-0.004168996898673039,0.0028589589141092553
1.5,no,12400/250,1669,0.14978790283203125,1.4978790283203125,0.014159832934345236,0.03297780784105031
1.5,no,9373/170,1666,0.15006256103515625,1.5006256103515625,-0.004168996898673039,0.0028589589141092553
1.5,no,9373/340,1665,0.15015411376953125,1.5015411376953125,-0.010263706112494284,0.01732743723484864
1.5,no,12400/250,1666,0.15006256103515625,1.5006256103515625,-0.004168996898673039,0.0028589589141092553
1.5,full,9373/170,1670,0.1497039794921875,1.497039794921875,0.019773723371725616,0.06430453551401483
1.5,full,9373/340,1678,0.14898681640625,1.4898681640625,0.0680049160180254,0.7589932598140781
1.5,full,12400/250,1680,0.14881134033203125,1.4881134033203125,0.07987695462701871,1.0462223305128582
1.5,full,9373/170,1662,0.150421142578125,1.50421142578125,-0.02799756542909312,0.1288905377494709
1.5,full,9373/340,1662,0.150421142578125,1.50421142578125,-0.02799756542909312,0.1288905377494709
1.5,full,12400/250,1677,0.14907073974609375,1.4907073974609375,0.06233686473207431,0.6379777925568653
1.5,full,9373/170,1670,0.1497039794921875,1.497039794921875,0.019773723371725616,0.06430453551401483
1.5,full,9373/340,1679,0.14890289306640625,1.4890289306640625,0.0736793564584721,0.8905875592839951
1.5,full,12400/250,1676,0.14916229248046875,1.4916229248046875,0.05616081018873715,0.5180113065112901
1.6,no,9373/170,1566,0.15964508056640625,1.5964508056640625,0.022231780167264594,0.08128137601361995
1.6,no,9373/340,1565,0.1597442626953125,1.597442626953125,0.016009169930270878,0.04215326280123666
1.6,no,12400/250,1564,0.15984344482421875,1.5984344482421875,0.009794281895852783,0.01577876962135516
1.6,no,9373/170,1565,0.1597442626953125,1.597442626953125,0.016009169930270878,0.04215326280123666
1.6,no,9373/340,1565,0.1597442626953125,1.597442626953125,0.016009169930270878,0.04215326280123666
1.6,no,12400/250,1562,0.1600494384765625,1.600494384765625,-0.003088950328915452,0.0015695252239655844
1.6,full,9373/170,1566,0.15964508056640625,1.5964508056640625,0.022231780167264594,0.08128137601361995
1.6,full,9373/340,1561,0.16015625,1.6015625,-0.009756097560975055,0.015655983874007795
1.6,full,12400/250,1570,0.15923309326171875,1.5923309326171875,0.0481625221599354,0.38112706658085527
1.6,full,9373/170,1554,0.1608734130859375,1.608734130859375,-0.05429194726358666,0.48415853238890083
1.6,full,9373/340,1552,0.16107940673828125,1.6107940673828125,-0.06701084639795332,0.7370149141858517
1.6,full,12400/250,1567,0.15953826904296875,1.5953826904296875,0.02894170532255806,0.13772640524692958
1.6,full,9373/170,1567,0.15953826904296875,1.5953826904296875,0.02894170532255806,0.13772640524692958
1.6,full,9373/340,1562,0.1600494384765625,1.600494384765625,-0.003088950328915452,0.0015695252239655844
1.6,full,12400/250,1572,0.15903472900390625,1.5903472900390625,0.060695610458144,0.6048859519415473
