freq_hz,wind,run_type,N_length_T,OUT_IN_med,OUT_IN_std,n
1.4,full,per240,23,0.778257231699393,0.05755880267363011,2
1.4,full,per240,24,0.7772783033891021,0.055764053699651914,2
1.4,full,per240,25,0.7772682946903962,0.05520793706807901,2
1.4,full,per240,26,0.7764473691673838,0.05527740285305722,2
1.4,full,per240,27,0.7751391309610576,0.05380487363029607,2
1.4,full,per240,28,0.7754222575177037,0.05486360281802142,2
1.4,full,per240,29,0.7749324172460723,0.05326399190011266,2
1.4,full,per240,30,0.7740469011984747,0.05366186878566712,2
1.4,full,per40,5,0.6993788343381503,,1
1.4,full,per40,6,0.7003765213873071,,1
1.4,full,per40,7,0.706144871213196,,1
1.4,full,per40,8,0.7079266619386525,,1
1.4,full,per40,9,0.7043144105892453,,1
1.4,full,per40,10,0.7013246934048819,,1
1.4,full,per40,11,0.7029024316087636,,1
1.4,full,per40,12,0.7034334500760856,,1
1.4,full,per40,13,0.6998437120739364,,1
1.4,full,per40,14,0.6984525479094356,,1
1.4,full,per40,15,0.694455410661462,,1
1.4,full,per40,16,0.6934372268727512,,1
1.4,full,per40,17,0.6933654177914241,,1
1.4,full,per40,18,0.6865586719578906,,1
1.4,full,per40,19,0.6910239163892462,,1
1.4,full,per40,20,0.6932024511185595,,1
1.4,full,per40,21,0.6870438283647603,,1
1.4,full,per40,22,0.6835929383999985,,1
1.4,full,per40,23,0.6865825329581481,,1
1.4,full,per40,24,0.6932560282433368,,1
1.4,full,per40,25,0.6939594524086288,,1
1.4,full,per40,26,0.6922115160202144,,1
1.4,full,per40,27,0.6867744730608272,,1
1.4,full,per40,28,0.6840331029781843,,1
1.4,full,per40,29,0.6842281764171716,,1
1.4,full,per40,30,0.6821028039733539,,1
1.4,no,per240,5,0.6942814282929358,,1
1.4,no,per240,6,0.70216249766896,,1
1.4,no,per240,7,0.7037455175178355,,1
1.4,no,per240,8,0.7008042013223686,,1
1.4,no,per240,9,0.7007199861494128,,1
1.4,no,per240,10,0.7012894853059611,,1
1.4,no,per240,11,0.7028637030268354,,1
1.4,no,per240,12,0.7012437573244472,,1
1.4,no,per240,13,0.7013362488177813,,1
1.4,no,per240,14,0.6998899177379151,,1
1.4,no,per240,15,0.6994233532886247,,1
1.4,no,per240,16,0.7000897817592534,,1
1.4,no,per240,17,0.6998186883635076,,1
1.4,no,per240,18,0.6975090931672052,,1
1.4,no,per240,19,0.6968508367236724,,1
1.4,no,per240,20,0.6961350633885065,,1
1.4,no,per240,21,0.6951759292007345,,1
1.4,no,per240,22,0.6950760724374447,,1
1.4,no,per240,23,0.6963345040642094,,1
1.4,no,per240,24,0.6975076817159866,,1
1.4,no,per240,25,0.6962925037995797,,1
1.4,no,per240,26,0.6954665424916786,,1
1.4,no,per240,27,0.6958746244691711,,1
1.4,no,per240,28,0.6949320407617385,,1
1.4,no,per240,29,0.6949573911887412,,1
1.4,no,per240,30,0.6950877735446597,,1
1.4,no,per40,5,0.7025368682922675,,1
1.4,no,per40,6,0.7000352989823133,,1
1.4,no,per40,7,0.7064709219173841,,1
1.4,no,per40,8,0.7068699685166774,,1
1.4,no,per40,9,0.7036418035123901,,1
1.4,no,per40,10,0.7046692878463648,,1
1.4,no,per40,11,0.7034619183500724,,1
1.4,no,per40,12,0.7061655923419288,,1
1.4,no,per40,13,0.7027097287304399,,1
1.4,no,per40,14,0.7021731001422569,,1
1.4,no,per40,15,0.7003075277638672,,1
1.4,no,per40,16,0.6983480831595523,,1
1.4,no,per40,17,0.7008981154608295,,1
1.4,no,per40,18,0.6970699351538102,,1
1.4,no,per40,19,0.6964420203424909,,1
1.4,no,per40,20,0.7005404346203095,,1
1.4,no,per40,21,0.6957490240913825,,1
1.4,no,per40,22,0.6904027840359428,,1
1.4,no,per40,23,0.6923221409449757,,1
1.4,no,per40,24,0.695916058272889,,1
1.4,no,per40,25,0.6964165568036774,,1
1.4,no,per40,26,0.6949797797674645,,1
1.4,no,per40,27,0.6917822109545814,,1
1.4,no,per40,28,0.6902149325788874,,1
1.4,no,per40,29,0.6897715037206071,,1
1.4,no,per40,30,0.6894406987914289,,1
1.5,full,per240,5,0.74035244139939,0.049200314933229135,2
1.5,full,per240,6,0.7456659456740873,0.058724060606663776,2
1.5,full,per240,7,0.7451098425767151,0.059787657053840045,2
1.5,full,per240,8,0.7448411871511417,0.05541622132790881,2
1.5,full,per240,9,0.7432095113912305,0.05276043386898573,2
1.5,full,per240,10,0.7410843113958663,0.04356825067759911,2
1.5,full,per240,11,0.7413580661340268,0.04057583161907912,2
1.5,full,per240,12,0.7387452903681456,0.03939231761865373,2
1.5,full,per240,13,0.7360360085324668,0.038283375628709086,2
1.5,full,per240,14,0.7359712827530036,0.037655677908179704,2
1.5,full,per240,15,0.7355646170359111,0.03846829475639865,2
1.5,full,per240,16,0.7345470702269623,0.03621715911443178,2
1.5,full,per240,17,0.733568230749752,0.03266352740675397,2
1.5,full,per240,18,0.7330427827996735,0.03220699386799754,2
1.5,full,per240,19,0.7329265224540502,0.03278700123176607,2
1.5,full,per240,20,0.7326313076686481,0.028768017784797196,2
1.5,full,per240,21,0.7305778086108178,0.02746773038704815,2
1.5,full,per240,22,0.7305708372712669,0.027590477893724794,2
1.5,full,per240,23,0.7282653146389897,0.024437255738397716,2
1.5,full,per240,24,0.7260729209113099,0.021998892991420504,2
1.5,full,per240,25,0.7250258381574131,0.01995703525365827,2
1.5,full,per240,26,0.7234791030978938,0.017580766176503202,2
1.5,full,per240,27,0.7212811513067617,0.015955648638535644,2
1.5,full,per240,28,0.7198029743706448,0.016645755743513162,2
1.5,full,per240,29,0.7182890938750768,0.01714981624531674,2
1.5,full,per240,30,0.716897391380884,0.01642930735163035,2
1.5,full,per40,5,0.7068489297437985,,1
1.5,full,per40,6,0.7050165022256698,,1
1.5,full,per40,7,0.7102025130073388,,1
1.5,full,per40,8,0.7129789314169697,,1
1.5,full,per40,9,0.7103861069656373,,1
1.5,full,per40,10,0.7091622391116272,,1
1.5,full,per40,11,0.710998601218793,,1
1.5,full,per40,12,0.7104618913710612,,1
1.5,full,per40,13,0.7084642315670899,,1
1.5,full,per40,14,0.7100124190827932,,1
1.5,full,per40,15,0.7086001627675572,,1
1.5,full,per40,16,0.7100712085155455,,1
1.5,full,per40,17,0.7033111335093448,,1
1.5,full,per40,18,0.7045470529848908,,1
1.5,full,per40,19,0.710522341346078,,1
1.5,full,per40,20,0.7041302044876435,,1
1.5,full,per40,21,0.6969111087549301,,1
1.5,full,per40,22,0.7029401215736037,,1
1.5,full,per40,23,0.7104204351488961,,1
1.5,full,per40,24,0.71209217132043,,1
1.5,full,per40,25,0.7084638662135503,,1
1.5,full,per40,26,0.7002443275000662,,1
1.5,full,per40,27,0.6965768783609679,,1
1.5,full,per40,28,0.6933775098952858,,1
1.5,full,per40,29,0.6904345300001252,,1
1.5,full,per40,30,0.6886279937266805,,1
1.5,no,per240,5,0.626585949336716,,1
1.5,no,per240,6,0.6220415375687149,,1
1.5,no,per240,7,0.6206900051911601,,1
1.5,no,per240,8,0.6159091177272777,,1
1.5,no,per240,9,0.6135656347163383,,1
1.5,no,per240,10,0.6117352669759063,,1
1.5,no,per240,11,0.6093418067254082,,1
1.5,no,per240,12,0.6061733365802479,,1
1.5,no,per240,13,0.6005818752285329,,1
1.5,no,per240,14,0.5995718225415906,,1
1.5,no,per240,15,0.599053422473729,,1
1.5,no,per240,16,0.5991518072182643,,1
1.5,no,per240,17,0.5975143429939032,,1
1.5,no,per240,18,0.5959302138006142,,1
1.5,no,per240,19,0.5948258677381505,,1
1.5,no,per240,20,0.594597645911744,,1
1.5,no,per240,21,0.5934408636806694,,1
1.5,no,per240,22,0.5914323385985392,,1
1.5,no,per240,23,0.588424221242254,,1
1.5,no,per240,24,0.5876356012383797,,1
1.5,no,per240,25,0.5870047420133954,,1
1.5,no,per240,26,0.5875612161101164,,1
1.5,no,per240,27,0.5874628891585506,,1
1.5,no,per240,28,0.5877771419369977,,1
1.5,no,per240,29,0.5877096268027782,,1
1.5,no,per240,30,0.5875018799755154,,1
1.5,no,per40,5,0.5892178955695884,,1
1.5,no,per40,6,0.5916876036766023,,1
1.5,no,per40,7,0.5945516126234386,,1
1.5,no,per40,8,0.5948968127470216,,1
1.5,no,per40,9,0.5957173730942541,,1
1.5,no,per40,10,0.5940291485079388,,1
1.5,no,per40,11,0.5956788249830275,,1
1.5,no,per40,12,0.5961130938032608,,1
1.5,no,per40,13,0.5945105319894718,,1
1.5,no,per40,14,0.5938987329061576,,1
1.5,no,per40,15,0.5917898756282872,,1
1.5,no,per40,16,0.5937980313069122,,1
1.5,no,per40,17,0.589444576543911,,1
1.5,no,per40,18,0.5869751480896239,,1
1.5,no,per40,19,0.5900618698442256,,1
1.5,no,per40,20,0.589526723639082,,1
1.5,no,per40,21,0.5827282017544175,,1
1.5,no,per40,22,0.579143469542539,,1
1.5,no,per40,23,0.5817173537908724,,1
1.5,no,per40,24,0.5843364806639422,,1
1.5,no,per40,25,0.586484854381614,,1
1.5,no,per40,26,0.5867972728529656,,1
1.5,no,per40,27,0.5863985662112645,,1
1.5,no,per40,28,0.5848290179158812,,1
1.5,no,per40,29,0.5843409545170707,,1
1.5,no,per40,30,0.583519804013798,,1
1.6,full,per240,5,0.670909585316914,0.01228504916899171,2
1.6,full,per240,6,0.6695771174735418,0.006003175858128867,2
1.6,full,per240,7,0.6715171144461174,0.006742192618515804,2
1.6,full,per240,8,0.6737321450743576,0.0151943806233226,2
1.6,full,per240,9,0.6722689661868344,0.01933251841929408,2
1.6,full,per240,10,0.6713605848386905,0.02237356943375876,2
1.6,full,per240,11,0.6703816426006416,0.02401574678454205,2
1.6,full,per240,12,0.6687166013689005,0.023142512832163682,2
1.6,full,per240,13,0.6662630605076397,0.02229531544501524,2
1.6,full,per240,14,0.6632250901695623,0.017838353150358158,2
1.6,full,per240,15,0.6627652873914096,0.018439167314071712,2
1.6,full,per240,16,0.6624890713637777,0.01622830572120586,2
1.6,full,per240,17,0.6629019296294503,0.013882742028267782,2
1.6,full,per240,18,0.6621859245091497,0.0146977917301063,2
1.6,full,per240,19,0.6625956597512379,0.014815377465239888,2
1.6,full,per240,20,0.6597566884735877,0.015058342627670236,2
1.6,full,per240,21,0.6594628287007593,0.014061057474699679,2
1.6,full,per240,22,0.6592428437416826,0.016418686479874347,2
1.6,full,per240,23,0.6592109255348672,0.016852604134276424,2
1.6,full,per240,24,0.6581865604877577,0.01793228866291822,2
1.6,full,per240,25,0.657389342074044,0.019139027065880502,2
1.6,full,per240,26,0.6562217957357357,0.018163017069861925,2
1.6,full,per240,27,0.6548754558114878,0.017595668727517538,2
1.6,full,per240,28,0.6540146718395545,0.0178768941887619,2
1.6,full,per240,29,0.6534599801893795,0.017628455767845698,2
1.6,full,per240,30,0.652626328546805,0.0184725485533983,2
1.6,full,per40,5,0.7295204689053735,,1
1.6,full,per40,6,0.7217289094232212,,1
1.6,full,per40,7,0.7295300025104091,,1
1.6,full,per40,8,0.7297828991373428,,1
1.6,full,per40,9,0.7333869986140775,,1
1.6,full,per40,10,0.7285077961345925,,1
1.6,full,per40,11,0.7287387795001647,,1
1.6,full,per40,12,0.7307333802645253,,1
1.6,full,per40,13,0.7208203722498361,,1
1.6,full,per40,14,0.7228793408059182,,1
1.6,full,per40,15,0.7243480293538148,,1
1.6,full,per40,16,0.7161032266466592,,1
1.6,full,per40,17,0.719297300979343,,1
1.6,full,per40,18,0.7259852872394352,,1
1.6,full,per40,19,0.720827096724071,,1
1.6,full,per40,20,0.7066945327206395,,1
1.6,full,per40,21,0.7098495680238046,,1
1.6,full,per40,22,0.7233606188568666,,1
1.6,full,per40,23,0.7272857199033623,,1
1.6,full,per40,24,0.7193496738577309,,1
1.6,full,per40,25,0.7086078581734898,,1
1.6,full,per40,26,0.69763625238617,,1
1.6,full,per40,27,0.6898532187758075,,1
1.6,full,per40,28,0.6853043626701291,,1
1.6,full,per40,29,0.6812405371921327,,1
1.6,full,per40,30,0.6765615002943723,,1
1.6,no,per240,5,0.4962901655901196,,1
1.6,no,per240,6,0.48839976150950737,,1
1.6,no,per240,7,0.48069256053435816,,1
1.6,no,per240,8,0.4802777669464466,,1
1.6,no,per240,9,0.4775533579293755,,1
1.6,no,per240,10,0.4764515078887665,,1
1.6,no,per240,11,0.473590689941068,,1
1.6,no,per240,12,0.470265697471309,,1
1.6,no,per240,13,0.46843717159115794,,1
1.6,no,per240,14,0.46803987729970253,,1
1.6,no,per240,15,0.4659991300804357,,1
1.6,no,per240,16,0.4658153004314909,,1
1.6,no,per240,17,0.4647962824605274,,1
1.6,no,per240,18,0.46379873400420163,,1
1.6,no,per240,19,0.465055992851937,,1
1.6,no,per240,20,0.46528875756470284,,1
1.6,no,per240,21,0.464904348803742,,1
1.6,no,per240,22,0.4659428391215582,,1
1.6,no,per240,23,0.46514871641221234,,1
1.6,no,per240,24,0.46468826695811066,,1
1.6,no,per240,25,0.4654524167084531,,1
1.6,no,per240,26,0.46498856122593857,,1
1.6,no,per240,27,0.4664327438826846,,1
1.6,no,per240,28,0.46563434535447007,,1
1.6,no,per240,29,0.46432743496930634,,1
1.6,no,per240,30,0.46551647817188,,1
1.6,no,per40,5,0.4876806324984189,,1
1.6,no,per40,6,0.4837772147533984,,1
1.6,no,per40,7,0.4861671776121752,,1
1.6,no,per40,8,0.4827511944716962,,1
1.6,no,per40,9,0.4828477718406705,,1
1.6,no,per40,10,0.4831801161338983,,1
1.6,no,per40,11,0.48104125302046163,,1
1.6,no,per40,12,0.48272220526793613,,1
1.6,no,per40,13,0.48020813615098945,,1
1.6,no,per40,14,0.47531271943394243,,1
1.6,no,per40,15,0.476651283693576,,1
1.6,no,per40,16,0.47517686597581,,1
1.6,no,per40,17,0.4723839605534384,,1
1.6,no,per40,18,0.4755865419378169,,1
1.6,no,per40,19,0.47769912859107416,,1
1.6,no,per40,20,0.47066414972664006,,1
1.6,no,per40,21,0.46161196530773735,,1
1.6,no,per40,22,0.4623890778537188,,1
1.6,no,per40,23,0.4695869879182005,,1
1.6,no,per40,24,0.47370192360125823,,1
1.6,no,per40,25,0.4739452507805629,,1
1.6,no,per40,26,0.47074411381329007,,1
1.6,no,per40,27,0.46812041112722186,,1
1.6,no,per40,28,0.4659185629812789,,1
1.6,no,per40,29,0.46414808832910265,,1
1.6,no,per40,30,0.4620560583250138,,1
