amp,freq,k,n_nw,n_fw,A_in_nw,A_in_nw_std,A_in_fw,A_in_fw_std,A_out_nw,A_out_nw_std,A_out_fw,A_out_fw_std,outin_nw,outin_nw_std,outin_fw,outin_fw_std,tcross,tcross_std
0.1,1.3,6.808453828907281,9,10,7.55836113707475,0.18782866470565057,7.497561805895853,0.12007922790506867,4.987751142590197,0.11762678732351502,5.890561186706385,0.29333860473039,0.660448298308046,0.028072648132193324,0.786101193776828,0.04634292400083893,0.779343706906569,0.0433737718096386
0.1,1.4,7.8919978746567265,2,3,8.053527524071864,0.06265888456196524,7.822090937001568,0.4767249466012966,4.044482007905679,0.2450770299500618,5.613538068309064,0.3301353256298204,0.5023336454369467,0.0343393246033462,0.7211306233734643,0.08631820024286115,0.6970284824296296,0.041349802607216504
0.1,1.5,9.05827113854914,2,3,7.653467475533633,0.13393780752982015,7.981980107997432,0.3244986478405335,3.463490571404358,0.06328022705252391,5.5336666597931226,0.38874083479929955,0.4526804122607595,0.01619021043449141,0.6951864320100918,0.07437707193143754,0.7230273960767425,0.05234509283510796
0.1,1.6,10.30586881503517,2,3,7.13226858721488,0.03186044387115355,8.24230700547057,0.3979472678779089,2.616367519824998,0.020865962554807996,5.048083203228209,0.13433517322671956,0.36684544309566813,0.004564301078383521,0.6132367873249672,0.028958538642129515,0.7077808612363915,0.019098372648203795
0.2,1.3,6.808453828907281,2,3,14.735339173090448,0.001193447538689166,14.803540877732113,0.1625269223346799,11.943809644947432,0.11777803605702566,12.696773189643052,0.301749226199946,0.8105551405550325,0.007927247527011596,0.8577400119116368,0.021778183548323476,0.8616546277285421,0.020478047699064198
0.2,1.4,7.8919978746567265,2,3,15.195177019567009,0.17504938826197983,15.703169009201064,0.7445002502206456,10.438158212420742,0.154538696478264,11.896148422552535,0.4170811329186709,0.6869259023268259,0.002256817242108242,0.759130251418346,0.055270489774158625,0.7828897555608417,0.028892007598580786
0.2,1.5,9.05827113854914,2,3,15.086197461397152,0.005397799522842682,15.49428961889302,0.6133768738679517,8.966253870666225,0.30035979757690984,11.335421561076027,0.3867921694043356,0.5943385138294799,0.020122228845276636,0.7327435914667276,0.04879469459453725,0.7513769848287694,0.0256402207146899
0.2,1.6,10.30586881503517,2,3,14.692129632196965,0.105992098206731,15.623945920225063,0.6626705847083344,7.13903657427382,0.05142491456807295,10.691501410316397,0.5464342970349346,0.485908920821774,5.2811599909129e-06,0.684497684149351,0.028117187326102064,0.7277026324956036,0.0375609984328331
0.3,1.3,6.808453828907281,2,4,21.533106105092287,0.05876204935537168,22.288334705326363,0.5041084676957759,17.865009042368904,0.09768045967423362,18.552767850871266,0.19980224327827364,0.8296500372148343,0.002272246419115457,0.8326549362116213,0.017334324253491944,0.8615927381922754,0.009572099018292191
0.3,1.4,7.8919978746567265,2,4,22.464800461477164,0.05267287712653779,23.120335769978215,0.4083368391250946,15.087714240205603,0.10335862436197124,17.713801015862963,0.38432603827379735,0.6716122213891086,0.0030261954235755975,0.766135294934105,0.006944583924033492,0.7885136147208938,0.017207530079920368
0.3,1.5,9.05827113854914,2,4,21.40211220706513,0.12915741382897114,23.440386547658917,0.7566418749739365,13.091944185416786,0.023083352148429454,17.090244397909053,0.30471185803366846,0.6117206005870217,0.0026130551072820886,0.7293670399281424,0.01210091057496577,0.7985307353106639,0.015030899509499962
0.3,1.6,10.30586881503517,3,5,21.000594990053486,0.16098937374831593,23.145368255515997,0.8528647729947072,10.969021795146851,0.050934304733815064,16.335603769748626,0.41701041011527235,0.5223522127127694,0.00641022589094132,0.7060900252091333,0.013607140950806602,0.7778638546901009,0.020733102867359778
