freq,panel,count_full,count_no,mean_full,mean_no,std_full,std_no,std_ratio,mean_diff_full_minus_no
0.65,reverse,7.0,12.0,0.9536815891841682,0.9647226738960826,0.010280057952882374,0.008020993070896588,1.2816440385895094,-0.01104108471191434
0.8,full,7.0,4.0,0.9632183493100204,0.9482085292526069,0.014317800931004307,0.0017777287651006236,8.053985069085545,0.01500982005741347
0.9,full,7.0,5.0,0.930985911290855,0.9384695862178323,0.024851725894984043,0.019165154600939024,1.2967140840996083,-0.007483674926977324
1.0,full,8.0,8.0,0.9230435525848787,0.9362757626228558,0.03464511506517692,0.02612802677755161,1.325975182134417,-0.013232210037977143
1.1,full,9.0,6.0,0.8836641338372803,0.889577295475034,0.06258392284589256,0.01875382813529279,3.3371278863388967,-0.005913161637753683
1.2,full,11.0,8.0,0.8141403315897476,0.80850420830312,0.046595400801130234,0.05520169417025778,0.8440936732379394,0.005636123286627659
1.3,full,36.0,47.0,0.7695708102076655,0.6882829725459415,0.07147377108314465,0.07480268297113114,0.9554974266194272,0.08128783766172398
1.3,reverse,6.0,17.0,0.691764421331642,0.6649931723573731,0.01979466619427396,0.060868351603696656,0.3252045713863523,0.026771248974268858
1.4,full,25.0,25.0,0.7209380745379685,0.6476838264161722,0.06751186234222836,0.09657574533458242,0.6990560839922745,0.07325424812179637
1.5,full,22.0,26.0,0.6961065172667846,0.5341791778141085,0.06154020319348284,0.08905344001979833,0.6910480176824303,0.16192733945267612
1.6,full,24.0,25.0,0.6319881821108669,0.4490165316611769,0.07947834868967761,0.08838677489974121,0.8992108692712388,0.18297165044969005
1.7,full,14.0,11.0,0.5682201398890897,0.3038833297322679,0.08851021673706805,0.06884788034979449,1.2855910201937286,0.2643368101568218
