amp_v,panel,mooring,Kt_fw,Kt_nw,std_nw,std_fw,n_nw,n_fw,Delta_Kt,ratio_Kt,ratio_D
0.1,full,below_90,0.7766207938353991,0.6579527574415579,0.028473254554109872,0.043152472964313515,23,15,0.11866803639384116,1.1803595091770427,0.6530653616552234
0.1,full,above_50,0.6340535754789551,0.6297261840764808,0.038115423822787535,0.029309401516076014,9,4,0.00432739140247429,1.0068718619487302,0.9883129964464781
0.1,reverse,above_50,0.7054637555335885,0.6174831924993153,0.060624477872667566,0.014201806220491726,7,2,0.08798056303427326,1.1424825227682143,0.7699955627855234
0.2,full,below_90,0.8457903526516533,0.8030359763469603,0.01564068106082196,0.023805138393084128,7,6,0.04275437630469292,1.053240922653533,0.7829330681220925
0.2,full,above_50,0.7123144841118896,0.7228307853366472,0.01239626165910927,0.00695694793020349,2,2,-0.010516301224757663,0.9854512267074238,1.0379418083553422
0.2,reverse,above_50,0.6854129152724604,0.6829094038381863,0.03497115834902035,0.03366404676033493,5,2,0.002503511434274075,1.0036659495684253,0.9921047439924818
0.3,full,below_90,0.8300033694198481,0.82048986499002,0.015947031619062354,0.016140419147286044,3,5,0.009513504429828123,1.0115949079150952,0.9470029676636408
0.3,full,above_50,0.7252936058924635,0.7392469645734133,0.013482552449357055,0.01895064380117684,2,3,-0.013953358680949823,0.9811249022997319,1.053511778523009
0.3,reverse,above_50,0.6844165931888768,0.7135909126778406,0.02793457618118459,0.007757369018110611,5,2,-0.029174319488963762,0.9591161841180356,1.1018624086328233
