path,campaign,series,panel_state,wind,freq_hz,amp_v,amp_tag,file_date,in_probes,out_probe,L_separation_m,A_IN[9373/170]_mm,A_IN[9373/340]_mm,A_IN_mean_mm,n_in_probes_used,A_OUT_mm,A_IN[9373/250]_mm
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,8.26062569528612,8.318494061878374,8.289559878582246,2,5.094792783136159,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.3,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,14.867805887911976,14.698223104306186,14.78301449610908,2,12.014622574557338,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.6,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,15.659289758522172,14.45310496809867,15.056197363310421,2,10.712055594357423,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.4,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.952332370517061,8.240231685937374,8.096282028227218,2,3.874829801814013,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,17.32663778975776,13.853743188300141,15.590190489028952,2,10.962693311722493,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.6,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,14.563532946780787,14.737503206768636,14.650518076774713,2,7.091763430608233,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.5,0.1,A1,2026-03-27,9373/170+9373/340,12400/250,3.027,7.7157697140090535,7.401012734144795,7.558391224076924,2,3.5155136628531287,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run2.csv,march,march_panel,panel,full,1.5,0.3,A3,2026-03-27,9373/170+9373/340,12400/250,3.027,24.570162500589205,23.899343279448406,24.234752890018804,2,17.409871803708555,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,15.308445210514698,14.901707114539272,15.105076162526984,2,12.771325099320533,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.4,0.2,A2,2026-03-27,9373/170+9373/340,12400/250,3.027,14.992593226743809,15.215341595731546,15.103967411237678,2,10.307609304369327,
