path,freq_r,amp_r,WindCondition,Mooring,A_in_mm,A_out_mm,OUT_IN,method,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt]
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run4.csv,1.6,0.3,no,below_90_loose,21.104523949188756,10.983669949115319,0.5204414928078737,short,1.6,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.2,no,below_90_loose,15.041979954710746,8.94342369922372,0.5945642612309744,short,1.5,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.3,full,below_90_loose,23.155413414615822,18.38375621053334,0.7939290860999878,short,1.4,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.2,full,below_90_loose,15.94527337085487,11.277575928477281,0.7072676439082373,short,1.5,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per40-depth580-mstop30-run1.csv,1.6,0.1,full,below_90_loose,8.17781669088075,4.812327103259044,0.5884611119524564,short,1.6,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.2,full,below_90_loose,15.141770829386044,11.966253362248189,0.7902809715641025,short,1.3,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per40-depth580-mstop30-run2-rettetterpå.csv,1.3,0.1,no,below_90_loose,7.324947755499598,5.171218889099616,0.7059734842773514,short,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.2,no,below_90_loose,14.902505734402897,11.214269647058089,0.7525089972734987,short,1.3,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run1.csv,1.3,0.3,full,below_90_loose,22.05063349867305,18.24543674902933,0.827433676684495,short,1.3,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per40-depth580-mstop30-run2.csv,1.3,0.3,full,below_90_loose,22.74738577590957,17.955167405994672,0.7893288302610114,short,1.3,0.3
