WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],Kt_fw,Kt_nw,Delta_Kt,pct_T_gain,pct_D_red,std_nw,std_fw,n_nw,n_fw
1.3,0.1,0.7861011937768281,0.660448298308046,0.1256528954687821,19.02539468883227,37.005526652543814,0.028072648132193307,0.04634292400083889,9,10
1.3,0.2,0.8577400119116368,0.8105551405550326,0.04718487135660421,5.821303079306126,24.90691565600973,0.007927247527011596,0.02177818354832345,2,3
1.3,0.3,0.8326549362116215,0.8296500372148343,0.003004898996787131,0.36218873766036186,1.763956356466432,0.002272246419115457,0.01733432425349199,2,4
1.4,0.1,0.7211306233734643,0.5023336454369468,0.21879697793651753,43.55610656861348,43.96459112222272,0.034339324603346134,0.08631820024286115,2,3
1.4,0.2,0.7591302514183461,0.6869259023268259,0.07220434909152018,10.511228190251991,23.063022341406256,0.002256817242108046,0.05527048977415871,2,3
1.4,0.3,0.766135294934105,0.6716122213891087,0.09452307354499634,14.074055017863197,28.783980312798825,0.003026195423575637,0.0069445839240334616,2,4
1.5,0.1,0.6951864320100918,0.45268041226075945,0.24250601974933234,53.57113168166874,44.30793729693253,0.016190210434491453,0.07437707193143757,2,3
1.5,0.2,0.7327435914667276,0.5943385138294799,0.13840507763724774,23.287246984124803,34.11836774148904,0.020122228845276674,0.048794694594537294,2,3
1.5,0.3,0.7293670399281423,0.6117206005870217,0.11764643934112062,19.232054507928012,30.299428586472743,0.002613055107282128,0.012100910574965845,2,4
1.6,0.1,0.6132367873249673,0.36684544309566813,0.2463913442292992,67.16489160941923,38.914881294383285,0.004564301078383501,0.028958538642129453,2,3
1.6,0.2,0.684497684149351,0.485908920821774,0.19858876332757697,40.869544644646915,38.629101217827184,5.2811599909129e-06,0.028117187326102147,2,3
1.6,0.3,0.7060900252091333,0.5223522127127694,0.1837378124963639,35.175080726114864,38.46721734855945,0.006410225890941315,0.013607140950806612,3,5
