freq_r,amp_r,wind,pct_IN,pct_OUT,n
1.3,0.1,full,0.18491662052009722,-1.9664100173920522,4
1.3,0.1,no,3.7451216351801704,-5.053884083128893,6
1.3,0.2,full,-0.7540105764864764,1.6657556764263437,2
1.3,0.2,no,-0.32375483439072894,3.61310889939471,1
1.3,0.3,full,-4.812734113276099,0.0020609707610922956,2
1.3,0.3,no,0.30138867111816375,3.6738066741428934,1
1.4,0.1,full,4.093635070574567,-3.24853186612759,2
1.4,0.1,no,3.2106336441498136,-7.06755540520361,1
1.4,0.2,full,-1.65457441193718,-1.3749092436271793,2
1.4,0.2,no,0.2366770931186606,-0.8536108809229109,1
1.4,0.3,full,-2.1268243019628663,-2.10148256274518,2
1.4,0.3,no,11.882545901493021,-3.4901751839738213,1
1.5,0.1,full,0.523047253656743,2.7249954909600764,2
1.5,0.1,no,-1.0361671434251862,-3.767065770327163,1
1.5,0.2,full,-0.4450886578005983,1.906628320288851,2
1.5,0.2,no,-1.7169418122216809,1.6153462992812406,1
1.5,0.3,full,0.6714820127540102,-0.5797619688126068,2
1.5,0.3,no,2.5934682846017236,-0.7790207661444215,1
1.6,0.1,full,-0.21907493367307151,0.7138545832148753,2
1.6,0.1,no,0.7965814143771005,-3.658805995161632,1
1.6,0.2,full,-0.863419357151612,-0.16728521087795062,2
1.6,0.2,no,-1.3748776966891922,0.3779828556640573,1
1.6,0.3,full,-0.2794437780641919,-0.1745964055996452,3
