category,WaveFrequencyInput [Hz],WindCondition,file_date,per_train,mstop_sec,run_num,Kt_FFT,Kt_LS,Kt_PSD,Kt_eff,any_flag,cut_in_any,cut_out_any,qflag_nonok,fft_ls_dis,ws_in_low,IN wave_stability,OUT wave_stability,short_path
canon_loose230,1.3,no,2026-03-24,240.0,,1,0.8279903113420854,0.8270608162105447,0.8299600875504021,0.8279903113420854,False,False,False,False,False,False,0.891617890731111,0.8995456045804221,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1300-per240-depth580-run1.csv
canon_loose230,1.3,no,2026-03-25,240.0,30.0,,0.7981066277275904,0.7973069281974455,0.8029729148329168,0.7981066277275904,False,False,False,False,False,False,0.8938825361693771,0.9006090431898893,20260325-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30.csv
canon_loose230,1.3,no,2026-03-25,240.0,30.0,1,0.7846598868801117,0.7826091167009112,0.770886927846104,0.7846598868801117,False,False,False,False,False,False,0.8959105484164708,0.8993759853819039,20260325-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv
canon_loose230,1.4,full,2026-03-23,40.0,30.0,2,0.7485461425959817,0.7483716580132518,0.7482548746810155,0.7485461425959817,False,False,False,False,False,False,0.8761284332090774,0.9016235655334955,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run2.csv
canon_loose230,1.4,full,2026-03-23,40.0,30.0,1,0.7357631511605077,0.7339898663818029,0.7218670428708401,0.7357631511605077,False,False,False,False,False,False,0.8558061905635566,0.8936964325315293,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv
canon_loose230,1.4,full,2026-03-23,240.0,30.0,1,0.7546656984123137,0.7555437953045532,0.7589393897899995,0.7546656984123137,False,False,False,False,False,False,0.8495239656553141,0.8958189677188532,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv
canon_loose230,1.4,full,2026-03-24,240.0,,1,0.7372576069214104,0.7371848733054454,0.7434429742003941,0.7372576069214104,False,False,False,False,False,False,0.8522344462519262,0.896839402738816,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1400-per240-depth580-run1.csv
canon_loose230,1.4,full,2026-03-24,40.0,,1,0.7976744799137423,0.7945695641395235,0.7931768621360055,0.7976744799137423,False,False,False,False,False,False,0.8439214079745513,0.8951851762223537,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1400-per40-depth580-run1.csv
canon_loose230,1.4,full,2026-03-26,240.0,30.0,1,0.8220189917078118,0.8212234925556624,0.814506948844418,0.8220189917078118,False,False,False,False,False,False,0.8558419782434022,0.893877256291014,20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv
canon_loose230,1.4,no,2026-03-21,240.0,30.0,1,0.6748639561318992,0.6741216714837943,0.6814150693406318,0.6748639561318992,False,False,False,False,False,False,0.8945607517955046,0.9010733211588269,20260321-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-RENAMED/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv
canon_loose230,1.4,no,2026-03-23,40.0,30.0,1,0.7149491769468015,0.7137722350165735,0.7035293454057204,0.7149491769468015,False,False,False,False,False,False,0.8991046188505208,0.8991697311895588,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv
canon_loose230,1.4,no,2026-03-24,240.0,,1,0.725831076792322,0.7251023119057693,0.7200431864814804,0.725831076792322,False,False,False,False,False,False,0.8987209511212758,0.8983039121292613,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1400-per240-depth580-run1.csv
canon_loose230,1.4,no,2026-03-25,240.0,30.0,,0.7116643837916083,0.7115917696712223,0.7084390221554998,0.7116643837916083,True,False,True,True,False,False,0.8956530544509298,0.894105172122102,20260325-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-runx-P2malfunction.csv
canon_loose230,1.4,no,2026-03-25,240.0,30.0,2,0.7523513165525729,0.7512653679170445,0.7507942472716104,0.7523513165525729,False,False,False,False,False,False,0.8962801076730447,0.9014714641613972,20260325-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run2.csv
canon_loose230,1.4,no,2026-03-25,240.0,30.0,1,0.7120839500814546,0.7118277861776968,0.7277241046947304,0.7120839500814546,False,False,False,False,False,False,0.8908076630776237,0.9026817532875248,20260325-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv
canon_loose230,1.5,full,2026-03-23,240.0,30.0,1,0.7099288254534947,0.7091990386749434,0.7041989917542628,0.7099288254534947,False,False,False,False,False,False,0.8588474194866026,0.8972225015255086,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv
canon_loose230,1.5,full,2026-03-23,40.0,30.0,2,0.6618735578166468,0.6597065572076956,0.6551581767487936,0.6618735578166468,False,False,False,False,False,False,0.8428912305036792,0.8857396621352571,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run2.csv
canon_loose230,1.5,full,2026-03-23,40.0,30.0,1,0.7015921283332751,0.7051343401896804,0.7016956505369013,0.7015921283332751,False,False,False,False,False,False,0.8388822160074865,0.8978611575971168,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv
canon_loose230,1.5,full,2026-03-24,40.0,,1,0.6785893769586243,0.6762824379985407,0.6754570727323039,0.6785893769586243,False,False,False,False,False,False,0.8496603358952558,0.8979149920704145,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1500-per40-depth580-run1.csv
canon_loose230,1.5,full,2026-03-24,240.0,,1,0.6776705973751329,0.6791333786345292,0.6778670802223803,0.6776705973751329,True,False,True,True,False,False,0.8660510357460215,0.8956165990502684,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1500-per240-depth580-run1-P2malfunction.csv
canon_loose230,1.5,full,2026-03-26,240.0,30.0,1,0.7890446985318814,0.7883163168407223,0.7809180884857859,0.7890446985318814,False,False,False,False,False,False,0.8531619281607702,0.8986207216455221,20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv
canon_loose230,1.5,no,2026-03-21,240.0,30.0,1,0.6004114759497257,0.6001476490040374,0.6083417413461116,0.6004114759497257,True,True,False,True,False,False,0.8763677707422198,0.8886737014447774,20260321-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-RENAMED/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv
canon_loose230,1.5,no,2026-03-23,40.0,30.0,1,0.6320519885524173,0.6314341476535011,0.6283569930196707,0.6320519885524173,False,False,False,False,False,False,0.8819640288166977,0.8930159519709062,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv
canon_loose230,1.5,no,2026-03-24,240.0,,1,0.6328231995074441,0.6321116337100513,0.6108514859878689,0.6328231995074441,False,False,False,False,False,False,0.8762458085520722,0.8878148671262016,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1500-per240-depth580-run1.csv
canon_loose230,1.5,no,2026-03-25,240.0,30.0,2,0.5914378484600533,0.5912272763540165,0.5812779157475906,0.5914378484600533,False,False,False,False,False,False,0.883508275929824,0.8876511076073527,20260325-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run2.csv
canon_loose230,1.5,no,2026-03-25,240.0,30.0,1,0.6122092328482981,0.6116299878706682,0.6135189404493997,0.6122092328482981,False,False,False,False,False,False,0.8789988816487725,0.8892251541117016,20260325-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv
canon_loose300,1.3,full,2026-03-27,240.0,30.0,1,0.8519887606942448,0.8453714730979534,0.8572755473203156,0.8519887606942448,False,False,False,False,False,False,0.8455970667659585,0.8882802504259181,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv
canon_loose300,1.3,full,2026-03-27,40.0,30.0,1,0.8394146561576624,0.8405608716469959,0.8346132835287906,0.8394146561576624,False,False,False,False,False,False,0.8270638472817606,0.893525377884668,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
canon_loose300,1.3,no,2026-03-27,240.0,30.0,1,0.8161605510375268,0.8127256925459766,0.809029110128448,0.8161605510375268,False,False,False,False,False,False,0.8942701831039573,0.9002217118066241,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv
canon_loose300,1.3,no,2026-03-27,40.0,30.0,1,0.8049497300725384,0.8031318050940853,0.8138236848215696,0.8049497300725384,False,False,False,False,False,False,0.8921274330320901,0.9003168548145232,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv
canon_loose300,1.4,full,2026-03-27,40.0,30.0,1,0.7182740908765375,0.7184529461391269,0.7149041876151095,0.7182740908765375,False,False,False,False,False,False,0.8642780894065952,0.8925200710044345,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv
canon_loose300,1.4,full,2026-03-27,240.0,30.0,1,0.7370976716706892,0.7354282170586649,0.7380116842358303,0.7370976716706892,False,False,False,False,False,False,0.8619170697841693,0.893906899823007,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv
canon_loose300,1.4,no,2026-03-27,40.0,30.0,1,0.6853300915510325,0.682440919725783,0.6932688142158686,0.6853300915510325,False,False,False,False,False,False,0.8980366489515529,0.9004770030730112,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv
canon_loose300,1.4,no,2026-03-27,240.0,30.0,1,0.6885217131026192,0.6874734099870674,0.6878070650994863,0.6885217131026192,False,False,False,False,False,False,0.8920131218120545,0.89724099413431,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv
canon_loose300,1.5,full,2026-03-27,240.0,30.0,1,0.7064801595525766,0.7031651045853099,0.7118422271980165,0.7064801595525766,False,False,False,False,False,False,0.8638824702383657,0.8966639690564193,20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv
