path,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],Mooring,A_in_fw,A_out_fw,A_wind2_in,A_wind2_out,A_in_corr,A_out_corr,OUT_IN_raw,OUT_IN_corr
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.1,below_90_loose,8.84370332788539,5.0352175397756,0.01626405691099492,0.001528132025319152,8.842783752571366,5.035065793099284,0.5693562247728143,0.5693982725332566
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,1.6,0.2,below_90_loose,15.8876813706095,10.761051856795053,0.020768858928026948,0.007524545418663479,15.887027742000203,10.760702231695364,0.6773204727470077,0.6773263323036517
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.2,below_90_loose,17.128823152959306,10.857777567093965,0.03512306411745586,0.0022889234723047925,17.127797860239866,10.857672161794932,0.6338892911751554,0.6339210825811834
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run2.csv,1.5,0.3,below_90_loose,24.206588893318525,17.738438807863947,0.06083446322429646,0.04421646794280248,24.205332292429027,17.737192417978413,0.7327938226257104,0.7327803726754155
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.2,below_90_loose,15.174871226252542,12.381245775183238,0.044425425967366816,0.0035874695590854206,15.173407373012166,12.381100899190415,0.815904503608813,0.8159736699096194
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.2,below_90_loose,16.448078171952446,11.576425563067398,0.01278739637757841,0.0029204899333933245,16.447689447283498,11.576299422842643,0.7038163025518521,0.7038252673693681
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.1,below_90_loose,7.959245788767558,5.4883156685262025,0.002237185766430417,0.00018120538892117352,7.959105247466431,5.488299160213599,0.6895522282113159,0.6895623301326054
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.3,below_90_loose,24.670894378688185,17.50374914771885,0.06083446322429646,0.04421646794280248,24.669661428182675,17.50248604508301,0.7094898498223625,0.7094741083510832
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.1,below_90_loose,8.004095709408956,5.863009861933364,0.002237185766430417,0.00018120538892117352,8.003955955626719,5.862994408639579,0.73250121872497,0.7325120779204113
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run2.csv,1.3,0.1,below_90_loose,7.411515830293023,5.831022283084541,0.010573075174163416,0.002700760859512372,7.410802509007369,5.830790692947994,0.7867516465729527,0.7867961244225616
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.1,below_90_loose,7.873252630360649,5.721472049075182,0.010573075174163416,0.002700760859512372,7.872581146378023,5.72123602445215,0.7266973787951599,0.7267293811362423
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run1.csv,1.6,0.3,below_90_loose,25.07869171899562,16.002295637983735,0.1790550619738197,0.03227359122762148,25.075121600392006,16.001287201166214,0.638083350490845,0.638133982206334
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.2,below_90_loose,16.070824035857182,11.728923375303205,0.01278739637757841,0.0029204899333933245,16.0704261858579,11.728798875153437,0.7298271295319805,0.7298374504513683
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per40-depth580-mstop30-run2.csv,1.6,0.3,below_90_loose,24.725827438465572,16.469163622482245,0.1790550619738197,0.03227359122762148,24.722206363000918,16.468183774565574,0.6660712836999514,0.6661292092121577
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.3,below_90_loose,24.036952274733473,15.837985879705826,0.1790550619738197,0.03227359122762148,24.033227406984707,15.836966980281721,0.6589015819760969,0.6589613085290021
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run2.csv,1.4,0.3,below_90_loose,24.44787703304347,18.72913599110533,0.012288120478655117,0.007597543351631539,24.44762571912323,18.72893316315602,0.7660843502194995,0.7660839288989123
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.1,below_90_loose,9.231534596857294,5.654178977804994,0.01626405691099492,0.001528132025319152,9.230653658114477,5.654043843217579,0.6124852719210796,0.6125290854399272
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run1.csv,1.4,0.3,below_90_loose,23.215077100634016,18.38375621053334,0.012288120478655117,0.007597543351631539,23.21481244093743,18.383549571967094,0.7918886562746444,0.7918887830232565
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,1.5,0.2,below_90_loose,17.319170416708737,11.277575928477281,0.03512306411745586,0.0022889234723047925,17.31815639318694,11.277474446838614,0.6511614388641385,0.6511937062351069
