category,WindCondition,PanelCondition,n,freq_min,freq_max,ka_min,ka_max,out_in_mean,out_in_std
above_50,full,full,75,0.5,1.9,0.010003680720390703,0.3627695284718962,0.725988013537681,0.20058430236542146
above_50,full,reverse,13,0.65,1.3,0.009415791107542213,0.1619343257782573,0.8327967424830022,0.13669489699924023
above_50,no,full,68,0.5,1.9,0.005257440684373964,0.25017036292471995,0.6824880680678973,0.24615879410813274
above_50,no,reverse,29,0.65,1.3,0.00957279779983723,0.1571119858070976,0.7890191729940805,0.15720201654775487
below_loose230_full,full,full,71,0.6,1.8,0.008218167374954868,0.31815277442743956,0.756407897970714,0.11416865145771891
below_loose230_full,no,full,73,0.8,1.7,0.03309527965522212,0.2396300675290195,0.6104166702189452,0.17003010496712923
below_loose300_full,full,full,39,0.8,1.7,0.032695761787163734,0.26930726974500135,0.7517516279407983,0.09995893530934108
below_loose300_full,no,full,31,1.3,1.7,0.04974328042427344,0.2169584394798899,0.6018321489458164,0.12993816133192734
