path,probe,target_freq,actual_freq,WaveAmplitudeInput [Volt],WindCondition,Mooring,amp_A_rms_mm,amp_B_rms_mm,band_over_peak,e_wind_A,e_wind_B,e_wind_frac_diff
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0800-per40-depth580-mstop30-run1.csv,12400/250,0.8,0.7992327213287354,0.1,full,below_90_loose,5.704826394055873,5.704826394055873,1.0,0.03234902153684153,0.03234902153684153,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run1.csv,9373/170,1.3,1.3014055490493774,0.1,full,below_90_loose,7.413086852326603,7.413086852326603,1.0,6.098928275042586,6.098928275042586,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run1.csv,12400/250,1.3,1.3000520467758179,0.1,full,below_90_loose,6.141162683271293,6.141162683271293,1.0,0.08054231520958742,0.08054231520958742,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,9373/170,1.6,1.586294412612915,0.3,full,below_90_loose,23.473820529129526,23.473820529129526,1.0,4.727094469380548,4.727094469380548,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,12400/250,1.6,1.5812777280807495,0.3,full,below_90_loose,16.466258792264505,16.466258792264505,1.0,1.6272087874936678,1.6272087874936678,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1200-per240-depth580-mstop30-run1.csv,9373/170,1.2,1.195600152015686,0.2,full,below_90_loose,14.748677142516714,14.748677142516714,1.0,9.616585620652728,9.616585620652728,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1200-per240-depth580-mstop30-run1.csv,12400/250,1.2,1.2007684707641602,0.2,full,below_90_loose,12.891671850187315,12.891671850187315,1.0,0.36660661709843956,0.36660661709843956,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.3,1.3000520467758179,0.1,no,below_90_loose,7.73703018038294,7.73703018038294,1.0,0.09568227053891791,0.09568227053891791,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.3,1.298701286315918,0.1,no,below_90_loose,5.148076753322825,5.148076753322825,1.0,0.037266627037340135,0.037266627037340135,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,9373/170,1.5,1.4961100816726685,0.1,full,below_90_loose,7.092480007521586,7.092480007521586,1.0,10.107589298046348,10.107589298046348,0.0
