freq,n,mean_amp,diff_pct
1.3,80,8.03348965594135,-1.4832324971341506
1.4,80,9.383924628316663,-1.7848298607740631
1.5,80,8.7533902775716,-1.841792135958562
1.6,80,6.64489364121205,-2.06858607248705
