amp_v,amp_label_display,panel,panel_label,mooring,mooring_label,Kt_nw,Kt_fw,n_nw,n_fw,Delta_Kt,ratio_Kt,ratio_D
0.1,$A_1$,full,normal,below_90,below\_90,0.6579527574415579,0.7766207938353991,23,15,0.11866803639384116,1.1803595091770427,0.6530653616552234
0.1,$A_1$,full,normal,above_50,above\_50,0.6297261840764808,0.6340535754789551,9,4,0.00432739140247429,1.0068718619487302,0.9883129964464781
0.1,$A_1$,reverse,revers,above_50,above\_50,0.6174831924993153,0.7054637555335885,7,2,0.08798056303427326,1.1424825227682143,0.7699955627855234
0.2,$A_2$,full,normal,below_90,below\_90,0.8030359763469603,0.8457903526516533,7,6,0.04275437630469292,1.053240922653533,0.7829330681220925
0.2,$A_2$,full,normal,above_50,above\_50,0.7228307853366472,0.7123144841118896,2,2,-0.010516301224757663,0.9854512267074238,1.0379418083553422
0.2,$A_2$,reverse,revers,above_50,above\_50,0.6829094038381863,0.6854129152724604,5,2,0.002503511434274075,1.0036659495684253,0.9921047439924818
0.3,$A_3$,full,normal,below_90,below\_90,0.82048986499002,0.8300033694198481,3,5,0.009513504429828123,1.0115949079150952,0.9470029676636408
0.3,$A_3$,full,normal,above_50,above\_50,0.7392469645734133,0.7252936058924635,2,3,-0.013953358680949823,0.9811249022997319,1.053511778523009
0.3,$A_3$,reverse,revers,above_50,above\_50,0.7135909126778406,0.6844165931888768,5,2,-0.029174319488963762,0.9591161841180356,1.1018624086328233
