regime,wind,n,mean,std,skew,p5,p95
wind_dominated,nowind,24,-0.3165275695856175,2.194936787081019,-0.04012983031947757,-4.325350433235938,3.3023553333502265
wave_dominated,nowind,8,-0.1887996977005524,2.1985316743465875,-1.094817758695187,-3.6252625265671563,1.6860377344037212
wind_dominated,fullwind,29,-1.0891410343630823,9.553967472053634,-1.216645146988439,-19.55656849184125,10.74563904957837
wave_dominated,fullwind,19,-5.723422929669198,8.162603264775008,-0.9643589711254021,-20.688895444185345,2.51285062349635
