amp_volt,amp_label_display,kind,kind_label,f_1.3,f_1.4,f_1.5,f_1.6
0.1,$A_1$,nw,$K_t$ (uten vind),0.660448298308046,0.5023336454369468,0.45268041226075945,0.36684544309566813
0.1,     ,fw,$K_t$ (full vind),0.7861011937768281,0.7211306233734643,0.6951864320100918,0.6132367873249673
0.1,     ,delta,$\Delta K_t$      ,0.1256528954687821,0.21879697793651753,0.24250601974933234,0.2463913442292992
0.2,$A_2$,nw,$K_t$ (uten vind),0.8105551405550326,0.6869259023268259,0.5943385138294799,0.485908920821774
0.2,     ,fw,$K_t$ (full vind),0.8577400119116368,0.7591302514183461,0.7327435914667276,0.684497684149351
0.2,     ,delta,$\Delta K_t$      ,0.04718487135660421,0.07220434909152018,0.13840507763724774,0.19858876332757697
0.3,$A_3$,nw,$K_t$ (uten vind),0.8296500372148343,0.6716122213891087,0.6117206005870217,0.5223522127127694
0.3,     ,fw,$K_t$ (full vind),0.8326549362116215,0.766135294934105,0.7293670399281423,0.7060900252091333
0.3,     ,delta,$\Delta K_t$      ,0.003004898996787131,0.09452307354499634,0.11764643934112062,0.1837378124963639
