probe,role,r_m,window_s,rms_no_mean_loose230,rms_no_std_loose230,rms_no_max_loose230,n_no_loose230,rms_no_mean_loose300,rms_no_std_loose300,rms_no_max_loose300,n_no_loose300
8804/250,Foran,8.804,3.69,0.031616718947905964,0.017171626913246033,0.05471738286499957,5,0.08551214698662213,0.13982757442990681,0.6197839037102814,37
9373/170,Innkommende,9.373,3.93,0.02021817350933909,0.019152657082542653,0.041794370993987064,5,0.09148256076816295,0.140645317085075,0.6860291638275862,37
9373/340,Innkommende,9.373,3.93,0.03401662238001772,0.005788951906637574,0.0429370894093762,5,0.09168362795145649,0.14389105145273295,0.6600332440717613,37
12400/250,Utgående,12.4,5.2,0.021011809873519104,0.019505052058877356,0.04070928175860362,5,0.07658041536490649,0.08045858097759233,0.30898178839881435,37
