probe,role,r_m,window_s,rms_full_mean_loose230,rms_full_std_loose230,rms_full_max_loose230,n_full_loose230,rms_full_mean_loose300,rms_full_std_loose300,rms_full_max_loose300,n_full_loose300
8804/250,Foran,8.804,3.69,3.614681796809776,0.6216073828185198,5.37992247221182,35,3.8052862200384143,0.5694758326829078,4.955862508453647,41
9373/170,Innkommende,9.373,3.93,3.8408558399659714,0.7482637121343642,5.840322891094617,35,4.277668739153331,0.6808422813289667,6.1463318955199995,41
9373/340,Innkommende,9.373,3.93,4.1679459460902,0.5256921805839915,5.258578634786862,35,4.135204606125035,0.5290565810811061,5.111303246495002,41
12400/250,Utgående,12.4,5.2,0.3515058914500741,0.046365311115252016,0.4672454253545899,35,0.32414475216575434,0.023261690596904253,0.3714661241095159,41
