probe,probe_label,thr3sigma_initial_mm,thr3sigma_final_mm,sigma_initial_mm,sigma_final_mm,n_initial,n_final,ratio_init_over_final
8804/250,Posisjon 1,0.34636073234720155,0.09090898213915607,0.11545357744906719,0.03030299404638536,20,9,3.80997261433442
9373/170,Posisjon 2A,0.42121507120791707,0.16424547295178912,0.14040502373597236,0.054748490983929705,20,9,2.564546003234781
9373/340,Posisjon 2B,0.1913360354713597,0.12098799786324092,0.06377867849045323,0.04032933262108031,20,9,1.5814464149380902
12400/250,Posisjon 3,0.37352307054730877,0.1720673737376545,0.12450769018243625,0.05735579124588483,16,9,2.1707954415391217
