amp_v,freq_hz,wind,n_full,K_full,n_rev,K_rev,delta
0.1,1.3,full,4,0.6340535754789551,2,0.7054637555335885,0.0714101800546334
0.1,1.3,no,9,0.6297261840764808,7,0.6174831924993153,-0.012242991577165574
0.2,1.3,full,2,0.7123144841118896,2,0.6854129152724604,-0.02690156883942918
0.2,1.3,no,2,0.7228307853366472,5,0.6829094038381863,-0.03992138149846092
0.3,1.3,full,3,0.7252936058924635,2,0.6844165931888768,-0.04087701270358668
0.3,1.3,no,2,0.7392469645734133,5,0.7135909126778406,-0.02565605189557274
